genes,lfc_liu2020,qval_liu2020
AT3G22231,1.950174183,0.000246765
AT4G37450,1.946477635,6.42E-30
AT2G38090,1.943705056,1.02E-07
AT3G12170,1.939433295,0.011637638
AT5G02890,1.926807642,5.73E-14
AT2G33570,1.923579048,5.98E-41
AT3G15115,1.917374763,7.21E-10
AT5G25810,1.917061779,0.012825702
AT1G68170,1.91001825,0.02953401
AT3G29370,1.906912004,1.23E-14
AT5G63180,1.906640546,3.74E-17
AT3G05740,1.906005203,5.64E-05
AT5G03552,1.873292287,1.21E-05
AT5G41880,1.872981064,4.07E-09
AT1G29670,1.868681443,1.94E-22
AT5G25045,1.864177077,6.19E-05
AT3G25110,1.851745462,3.20E-18
AT1G44110,1.838283775,0.002103618
AT2G10940,1.835163992,7.49E-33
AT3G06770,1.830751302,1.11E-31
AT5G09970,1.829872438,1.74E-18
AT4G18970,1.826006537,2.87E-31
AT5G44680,1.825369146,6.64E-12
AT2G38720,1.822755784,0.012871567
AT1G13609,1.817912793,1.57E-09
AT1G20010,1.81698016,2.65E-58
AT4G14550,1.812065499,1.87E-09
AT1G02800,1.81204592,0.026959148
AT3G25030,1.808470957,8.78E-07
AT5G52280,1.804478584,6.09E-26
AT1G04020,1.802771635,2.08E-05
AT3G14370,1.802106131,0.001598416
AT3G58120,1.797242132,5.66E-27
AT4G10270,1.796367544,0.042109828
AT5G55470,1.783693057,2.57E-09
AT2G21830,1.782206171,2.09E-08
AT3G50890,1.78087332,4.87E-13
AT1G11000,1.773537787,4.50E-17
AT3G20470,1.772930295,3.29E-07
AT4G24275,1.769298344,1.50E-39
AT3G23450,1.767445187,0.00348391
AT4G02060,1.763078586,5.93E-13
AT1G44900,1.76286695,1.86E-13
AT2G41820,1.761716643,3.20E-25
AT1G45010,1.757972795,2.80E-09
AT4G09890,1.750112376,9.74E-33
AT1G21270,1.748613149,2.06E-16
AT1G26330,1.748118214,0.000124582
AT1G04040,1.729381185,3.45E-07
AT2G16440,1.727224889,3.66E-14
AT4G34760,1.726587676,6.66E-08
AT4G26760,1.722109686,5.62E-12
AT2G24645,1.70092344,3.18E-09
