genes,lfc_liu2020,qval_liu2020
AT4G38660,0.86139045,0.003428475
AT1G33720,0.861183429,0.034856812
AT1G64330,0.860518675,1.75E-09
AT5G35750,0.86027304,3.87E-09
AT2G42840,0.8601887,2.01E-06
AT5G09870,0.859550647,5.39E-05
AT1G67320,0.859245506,0.00150019
AT2G18520,0.859031438,0.000831955
AT3G25860,0.858922925,4.14E-09
AT2G17430,0.858798426,0.035969456
AT5G07250,0.858551094,1.81E-06
AT4G28050,0.857718729,1.17E-08
AT3G09800,0.854199629,0.000101188
AT3G06035,0.852825614,0.013420567
AT3G24515,0.850149775,0.000835479
AT3G50240,0.850104272,0.000362775
AT2G47160,0.849714798,0.005688944
AT1G19690,0.849545792,3.77E-06
AT5G40830,0.846703507,4.80E-05
AT3G45850,0.845846455,1.80E-11
AT5G16070,0.845707976,4.51E-14
AT5G07620,0.842344404,0.014772495
AT4G16910,0.841736062,0.002041232
AT4G32330,0.840432953,1.29E-19
AT1G02350,0.839940453,0.038991246
AT3G13690,0.839800601,1.59E-08
AT5G63420,0.839114828,5.93E-12
AT5G45290,0.83742992,2.35E-07
AT2G24630,0.836047971,0.000720303
AT5G65440,0.835071409,1.56E-26
AT3G50110,0.834766258,0.007196367
AT1G55200,0.834578742,0.000334168
AT1G68570,0.834339673,6.35E-07
AT5G49730,0.833745405,0.000961601
AT5G41060,0.833321483,4.66E-07
AT5G23530,0.832981498,0.000185168
AT2G21790,0.832020983,5.31E-09
AT1G30570,0.829741572,2.13E-08
AT4G25990,0.829403782,0.000158557
AT1G64380,0.829398779,0.016967333
AT5G57440,0.827840095,1.14E-07
AT5G39550,0.82758559,0.002948691
AT5G65410,0.827388322,0.001472241
AT3G14410,0.826552925,1.45E-08
AT4G16120,0.826341083,4.83E-05
AT3G22790,0.825880488,9.45E-07
AT4G20000,0.825574625,0.000150322
AT5G47550,0.824952007,3.41E-06
AT2G46420,0.823499318,3.81E-10
AT1G64650,0.822397803,3.64E-16
AT5G19160,0.822088055,0.002616417
AT1G74055,0.82094322,0.019742907
AT5G54190,0.820605235,0.005043066
AT5G45560,0.820251917,0.000589802
AT5G52910,0.819348866,0.012040742
AT4G37110,0.818751602,2.98E-07
AT1G65470,0.818680056,0.000108842
AT5G58970,0.818105547,4.19E-05
AT4G31000,0.817865192,3.95E-05
AT4G03400,0.817642515,0.000169009
AT2G28150,0.817075629,0.000193868
AT3G61520,0.816866496,0.011697323
AT5G14610,0.815769419,2.02E-05
AT3G06140,0.815638345,0.049365106
AT4G08115,0.815569962,0.010970838
AT3G43720,0.815404565,4.17E-06
AT5G63780,0.814652206,3.35E-08
AT5G64330,0.813650297,1.69E-11
AT5G61890,0.811308007,0.001021918
AT1G53345,0.809713817,0.001392787
AT3G08940,0.809386409,5.14E-06
AT2G22125,0.808618801,9.95E-31
AT1G31850,0.808549469,9.83E-11
AT1G66930,0.808277229,0.017523409
AT4G32280,0.808034778,0.001520935
AT1G16190,0.807759295,5.86E-07
AT1G63220,0.805977778,0.002683474
AT5G17620,0.805468128,1.40E-07
AT5G41000,0.803997965,0.000992405
AT4G21720,0.80322441,0.013891018
AT2G28630,0.802958053,6.71E-11
AT1G64220,0.802908417,0.017269338
AT3G47010,0.802607291,0.000248588
AT3G02170,0.802403852,6.36E-25
AT5G41040,0.800875561,0.018246819
AT1G18340,0.800664578,0.000121985
AT5G41400,0.800607752,0.005317888
AT2G22230,0.798013192,1.45E-06
AT5G03520,0.798010834,4.90E-19
AT3G06150,0.797761078,0.000399583
AT1G15570,0.797602448,0.000886583
AT1G04900,0.796524688,1.35E-08
AT1G29530,0.795879478,0.000886583
AT1G11130,0.794331616,5.70E-05
AT5G07140,0.790857194,0.001459806
AT1G29465,0.790546883,4.97E-05
AT1G03830,0.788940414,0.00043131
AT2G01830,0.78883154,0.005020721
AT3G17350,0.787977197,0.011418419
AT1G59990,0.786460932,4.36E-09
AT5G20110,0.785888056,0.004192632
AT1G50010,0.785199718,1.29E-29
AT3G17830,0.785077077,0.006355899
AT2G46110,0.784558025,0.010174522
AT2G35650,0.784448164,2.69E-09
AT3G10110,0.783803858,0.01787441
AT5G06050,0.783748964,6.32E-09
AT1G77990,0.78361908,0.007475517
AT2G27810,0.783510504,6.04E-07
AT3G14890,0.783442261,0.030752639
AT3G05020,0.782989744,4.89E-08
AT3G52290,0.782423796,7.61E-08
AT5G25140,0.782353107,0.000397975
AT3G20350,0.782257057,9.18E-08
AT1G27460,0.782093535,1.14E-07
AT2G32765,0.781776063,0.034268506
AT3G16060,0.781429242,4.06E-10
AT4G34290,0.780501744,6.58E-07
AT1G66180,0.779538325,1.76E-06
AT4G22756,0.779362394,0.000247292
AT2G04280,0.778741918,3.86E-15
AT4G00370,0.778724861,8.24E-07
AT1G17140,0.778610627,9.52E-05
AT3G56330,0.777424201,0.006206059
AT1G09440,0.777132184,0.006939361
AT1G10930,0.77695536,5.35E-05
AT1G13670,0.776390936,0.000168397
AT5G41480,0.776079776,1.26E-05
AT5G65810,0.775792611,8.44E-08
AT3G51740,0.775710092,0.021932322
AT1G62330,0.775328355,1.41E-07
AT4G38770,0.775159734,0.00013016
AT5G20740,0.774864916,0.018445588
AT2G24290,0.774709896,1.46E-06
AT5G06700,0.774679548,6.75E-12
AT1G30960,0.774602471,0.0004889
AT5G42100,0.774489426,0.000527288
AT3G27230,0.774417318,7.23E-12
AT2G30460,0.774130132,0.021432135
AT3G01450,0.773721526,8.93E-05
AT2G13690,0.77284287,0.00026376
AT3G52430,0.771523288,0.000656508
AT3G17170,0.770996062,5.72E-06
AT1G14840,0.770537377,2.24E-05
AT1G63470,0.770334893,0.008453332
AT5G44130,0.769683584,6.02E-12
AT5G22750,0.769140806,4.98E-05
AT4G17360,0.76878415,0.008325346
AT2G03220,0.768295134,3.07E-07
AT1G55910,0.768284446,0.004980283
AT1G80170,0.767948221,0.001032535
AT5G44110,0.767337062,0.022987723
AT1G08260,0.766642088,1.25E-05
AT1G13750,0.765433715,0.003779948
AT3G06740,0.76472289,5.64E-05
AT1G69700,0.76441655,2.38E-05
AT5G46640,0.764285427,0.020419606
AT4G16892,0.762513284,0.014184296
AT1G51500,0.762178612,5.67E-08
AT2G42580,0.761974666,3.65E-20
AT4G37080,0.761681385,0.000487328
AT5G63410,0.760974491,6.92E-09
AT1G63300,0.760618046,0.020036872
AT1G28670,0.760492398,0.037828878
AT2G38970,0.760392399,0.000127118
AT1G62640,0.760184259,2.07E-06
AT4G39510,0.758628156,0.035244161
AT2G23360,0.758275983,0.00062118
AT1G26650,0.757319362,1.82E-05
AT5G26740,0.757136458,1.04E-09
AT1G48480,0.757107333,0.003721995
AT5G14360,0.756844866,0.000483296
AT1G22170,0.756751689,0.019684124
AT1G67730,0.756593212,3.89E-09
AT1G70370,0.756513384,0.00012679
AT3G10720,0.755504515,5.32E-11
AT3G22142,0.754371319,0.014720692
AT5G39210,0.753836989,0.00333846
AT1G18650,0.752819755,0.002182012
AT1G16780,0.751108796,4.91E-07
AT1G27960,0.75073373,1.62E-09
AT4G14960,0.750656256,1.30E-25
AT1G52670,0.749921758,1.14E-06
AT4G25100,0.749586102,0.040843628
AT1G61240,0.749353299,0.00026976
AT3G60740,0.747259829,1.01E-09
AT2G02790,0.746691087,1.67E-07
AT2G25270,0.745819133,0.023399123
AT1G53300,0.745457594,1.75E-09
AT5G46690,0.745350274,0.017192089
AT5G44568,0.745251175,0.019879593
AT4G23740,0.744872692,4.94E-06
AT3G21400,0.74484266,0.006128502
AT5G57270,0.744290651,0.00021411
AT1G26560,0.744215728,0.022246998
AT2G23600,0.74308207,0.000508746
AT4G34090,0.742806781,9.26E-05
AT4G17180,0.742348647,0.014609218
AT4G34220,0.742223691,1.63E-05
AT5G12900,0.74208803,0.000477061
AT2G34680,0.742055787,5.44E-06
AT5G20700,0.741000712,1.56E-10
AT5G23870,0.74018076,3.21E-05
AT5G10480,0.738675932,8.54E-07
AT5G42880,0.738402386,0.037390258
AT1G29840,0.738260555,0.029209137
AT5G03150,0.735826386,0.016520134
AT4G29240,0.734266021,0.040777464
AT1G45207,0.733506396,0.000143226
AT2G43130,0.733349164,7.67E-07
AT4G39770,0.733345839,0.00034039
AT5G07000,0.733126629,2.60E-06
AT1G20950,0.732250487,6.55E-09
AT5G47630,0.732193254,0.009082873
AT3G03250,0.731566782,1.06E-10
AT3G51470,0.731439657,0.015355421
AT1G14290,0.730635504,0.016728584
AT1G65295,0.730352547,0.002861713
AT5G24010,0.729487758,0.000507773
AT3G07200,0.72752322,0.003569221
AT4G00740,0.727089182,3.25E-08
AT1G22250,0.726835668,0.032137521
AT5G45940,0.726663914,0.018379098
AT1G33615,0.726427028,0.013037714
AT2G42170,0.725210728,0.001060242
AT5G07900,0.724803991,0.000397975
AT3G49290,0.724558015,0.000489382
AT2G39140,0.723643841,5.74E-07
AT3G08600,0.72318793,0.000361858
AT4G27730,0.723156465,0.001872507
AT4G13510,0.722627568,0.017954715
AT2G36570,0.722408451,0.008557216
AT1G71710,0.722096322,3.45E-08
AT2G29890,0.72178072,0.005389207
AT1G04820,0.721535747,2.35E-20
AT5G13920,0.721523877,0.047372428
AT5G50420,0.721433916,8.42E-07
AT5G50000,0.721066293,9.10E-17
AT5G61030,0.720908326,1.61E-05
AT1G29910,0.720613179,0.001139411
AT5G50890,0.719995315,0.01720496
AT4G36540,0.719878234,5.75E-06
AT5G57800,0.71905885,2.03E-07
AT5G51560,0.718776392,0.037822127
AT2G01070,0.718235715,7.95E-09
AT1G49210,0.716972541,0.037384942
AT1G79260,0.716322874,0.002140169
AT5G05170,0.716241238,2.75E-24
AT3G63290,0.716016955,0.035508124
AT5G45950,0.715881308,0.045794202
AT5G06570,0.715063406,3.80E-05
AT3G28040,0.714787265,0.001820273
AT5G49110,0.714337321,0.046956997
AT3G52170,0.714202054,0.001367383
AT1G64780,0.714019785,0.031968409
AT5G15830,0.713989658,0.009471206
AT4G25830,0.713283236,0.000459202
AT5G20270,0.713030202,1.19E-05
AT1G22530,0.712940008,3.48E-22
AT2G03350,0.712625731,2.11E-07
AT1G10740,0.712519675,8.61E-08
AT3G50270,0.711860473,0.001714378
AT3G01860,0.711649315,0.000212816
AT3G10525,0.711339609,0.000239277
AT4G28070,0.710866681,0.012974161
AT1G08610,0.710554147,5.12E-06
AT1G73090,0.710346795,0.000839275
AT3G04450,0.710268395,0.008714719
AT5G39320,0.710042723,0.040471759
AT1G48230,0.709985446,9.18E-08
AT4G14440,0.709845224,0.001981743
AT4G34950,0.709677992,0.003151207
AT1G51630,0.709651858,1.05E-08
AT1G76160,0.709617586,1.49E-10
AT3G05640,0.70952121,0.000299115
AT2G03710,0.708927263,0.049597922
AT4G29720,0.708619309,0.000436543
AT3G48980,0.707538099,0.000593153
AT1G29418,0.707452502,0.014453299
AT5G06670,0.706924773,0.000393081
AT2G19600,0.706567443,0.000507699
AT5G62840,0.706368902,0.040843628
AT3G18320,0.706154044,0.024176331
AT1G64760,0.705422118,0.027578929
AT5G44580,0.704829289,2.07E-05
AT2G35190,0.703242435,0.009565522
AT1G10120,0.702994491,1.67E-08
AT5G27360,0.702187667,0.023603622
AT4G04790,0.701745079,0.011714984
AT2G26640,0.699691788,1.58E-05
AT5G58960,0.69778438,6.62E-06
AT4G14360,0.697314807,9.76E-09
AT5G57030,0.696772284,0.000103746
AT4G19420,0.696709571,0.00014509
AT1G55840,0.696017118,2.53E-08
AT1G55360,0.695203157,3.44E-05
AT5G01630,0.695200512,0.044896893
AT1G55140,0.695060275,0.000260917
AT3G10940,0.69419333,0.003466089
AT5G08610,0.693601339,7.60E-15
AT3G49250,0.693212697,0.007882171
AT5G57930,0.693138005,2.66E-05
AT4G02900,0.692709832,0.005207964
AT4G32410,0.692335505,3.48E-16
AT3G05000,0.692246774,2.09E-08
AT3G01380,0.692029313,2.03E-08
AT2G04530,0.692005426,0.000281775
AT1G12990,0.690700383,1.28E-09
AT5G09840,0.690510787,0.000230455
AT3G49650,0.690398491,0.015280883
AT5G64860,0.689515575,4.84E-07
AT3G02680,0.688921875,0.022397399
AT4G23170,0.688904422,0.00029436
AT3G06430,0.68866504,7.42E-08
AT4G04890,0.68815231,4.82E-09
AT4G13100,0.688083852,0.039224733
AT4G35335,0.687447685,3.53E-06
AT5G52920,0.687039981,1.00E-12
AT4G18197,0.686034939,0.016582815
AT5G01590,0.685494304,1.35E-06
AT1G13860,0.68288833,3.89E-08
AT3G19720,0.682287355,1.06E-07
AT1G19970,0.681946028,0.020671023
AT1G62480,0.681123215,9.95E-13
AT2G25830,0.680872666,1.08E-06
AT5G58930,0.680611299,4.69E-06
AT5G19780,0.68060335,5.88E-10
AT2G32640,0.680515587,0.005120316
AT1G49380,0.680048145,0.000436147
AT1G54730,0.679869877,7.94E-07
AT5G65010,0.679179419,1.23E-15
AT4G12420,0.679062032,1.49E-08
AT1G10522,0.678669287,0.000361788
AT3G16200,0.678130443,1.14E-05
AT3G16850,0.677679098,7.83E-08
AT2G44640,0.676897028,4.24E-07
AT1G49660,0.676810222,1.98E-05
AT2G21970,0.676454102,3.09E-07
AT3G54690,0.676159535,1.28E-09
AT2G33990,0.67588138,0.00028157
AT5G61590,0.674757709,1.72E-09
AT5G52100,0.674586117,0.00088703
AT4G19530,0.674479623,2.81E-08
AT2G39900,0.674093802,2.05E-05
AT3G07060,0.673195713,1.31E-05
AT3G26230,0.671982098,1.11E-06
AT3G21670,0.671861475,0.000666028
AT4G22290,0.671772091,0.000615066
AT4G29910,0.671164214,0.00037094
AT1G06645,0.66946576,0.000647637
AT2G45660,0.668863216,4.57E-07
AT2G37025,0.668712426,3.21E-06
AT3G47875,0.668052081,0.033183637
AT3G62300,0.667763212,6.28E-06
AT4G31650,0.667181857,0.002922055
AT5G43950,0.666955642,0.006305912
AT5G61130,0.666402876,0.001387265
AT3G04550,0.666244205,0.000105852
AT2G21380,0.666159688,1.59E-07
AT1G35710,0.665922383,0.008608346
AT5G47820,0.664797336,2.73E-10
AT5G16390,0.664618006,4.45E-06
AT1G50575,0.664320586,0.001752221
AT5G58000,0.66390746,0.012287563
AT5G05620,0.663067612,6.62E-05
AT5G46510,0.662771231,0.000107563
AT3G25805,0.661892691,1.44E-05
AT1G17430,0.661488778,0.008487776
AT1G78040,0.661398591,1.60E-10
AT2G40690,0.660922212,0.00170355
AT3G07440,0.660672795,1.13E-05
AT2G41170,0.659945508,7.00E-05
AT1G36180,0.659586845,0.0151924
AT4G36250,0.659561287,2.03E-12
AT4G13500,0.658643018,2.11E-05
AT5G53070,0.658197024,3.29E-05
AT1G61460,0.657969132,0.042110859
AT5G05240,0.656629333,0.035008931
AT4G23800,0.656592363,0.032420284
AT4G29730,0.656502587,0.006355899
AT3G52750,0.656240094,4.28E-05
AT3G45970,0.655944921,5.63E-07
AT1G56580,0.6559057,7.05E-07
AT5G26850,0.655697198,5.19E-07
AT2G28100,0.655251399,0.001790267
AT3G18130,0.655248451,7.45E-05
AT4G26370,0.655131867,9.06E-05
AT3G09820,0.654674212,8.90E-10
AT2G18290,0.654653224,1.85E-05
AT3G27020,0.652999625,0.00063235
AT4G34960,0.652799151,0.000388989
AT1G79460,0.652451154,0.03591433
AT5G51350,0.652395849,0.0294923
AT4G27760,0.652114094,3.29E-05
AT3G08680,0.651571011,1.26E-05
AT5G49945,0.651291604,3.12E-05
AT4G23820,0.651253614,1.69E-08
AT3G14980,0.650224059,1.43E-08
AT5G62370,0.650124479,0.011208077
AT2G07050,0.649767226,5.52E-15
AT4G23290,0.649587066,0.004893981
AT2G25840,0.649533038,6.92E-05
AT4G17190,0.649293874,3.04E-06
AT4G13670,0.649087109,0.000131878
AT2G41550,0.648484487,0.001532603
AT1G50110,0.647897844,0.0009715
AT4G29360,0.646327637,0.016976466
AT1G60800,0.645729853,0.00056843
AT3G19570,0.645558601,0.000168307
AT1G52240,0.644604333,0.01704938
AT3G42660,0.642275303,4.54E-05
AT4G37100,0.642026861,0.002177102
AT1G47520,0.641996762,0.01042603
AT3G11700,0.641601442,4.22E-14
AT1G72810,0.641599585,1.11E-06
AT5G62890,0.641475572,1.01E-06
AT5G57240,0.641215643,0.021427051
AT1G77320,0.640887243,0.000953475
AT3G02630,0.640636069,3.06E-08
AT5G41130,0.640347737,0.000611124
AT1G26810,0.640304449,0.011133457
AT5G46580,0.640050194,1.13E-05
AT1G28395,0.639312043,0.019333473
AT3G60630,0.63929162,6.43E-05
AT1G69020,0.639220019,0.0467044
AT3G52480,0.639083727,0.035316689
AT3G61490,0.638308242,0.027693675
AT5G01920,0.638303535,1.62E-05
AT3G50845,0.638157432,0.013110267
AT4G28730,0.637769108,0.002439669
AT4G12110,0.637734835,7.77E-06
AT1G63480,0.637725922,0.001640071
AT2G34170,0.637431177,0.003169964
AT5G11790,0.637260608,0.002578958
AT1G18620,0.636832412,0.00027075
AT2G25470,0.636692656,0.024569644
AT3G63410,0.636359298,1.37E-07
AT1G32060,0.635987313,1.28E-09
AT2G05990,0.63532072,3.36E-09
AT3G06980,0.635256652,2.33E-09
AT1G80270,0.635161405,3.59E-06
AT2G18910,0.635062225,0.002474079
AT1G15410,0.634128925,6.00E-05
AT5G61300,0.633976345,0.020370141
AT5G56850,0.633639434,0.011702162
AT1G49350,0.633175864,0.002791729
AT1G80060,0.633169957,0.044664207
AT3G60320,0.63274821,4.63E-10
AT1G53000,0.632729102,1.85E-05
AT4G21770,0.632441162,0.000229281
AT2G29120,0.632358363,0.001907399
AT5G52540,0.63222644,0.000104361
AT1G17940,0.63180405,2.54E-05
AT5G11800,0.631627261,8.02E-09
AT1G50900,0.631560421,0.007654765
AT5G13460,0.63096392,2.13E-06
AT3G11010,0.630951338,0.030679868
AT1G68890,0.630706531,2.60E-05
AT3G15140,0.630239642,0.027657507
AT4G29750,0.629712553,1.11E-05
AT3G44200,0.629332269,6.63E-06
AT4G01220,0.628347617,0.000529065
AT1G77580,0.628260232,0.000338782
AT1G24764,0.627963329,3.80E-06
AT2G21250,0.627871257,4.66E-09
AT3G28460,0.627579476,0.001226868
AT4G18205,0.627434156,0.024699863
AT5G55220,0.627425913,9.17E-06
AT5G52060,0.626757535,0.00350171
AT1G25375,0.626693163,0.009346372
AT5G19670,0.626538264,0.007231643
AT5G19190,0.626175591,4.15E-06
AT4G33980,0.626095893,0.011706921
AT4G34490,0.62589561,1.43E-07
AT2G19170,0.625738513,0.008557216
AT1G19710,0.624333566,0.000230248
AT5G46490,0.624241594,0.026404945
AT3G14900,0.623585816,9.39E-05
AT3G19400,0.62280401,0.000235355
AT1G17840,0.622529181,1.04E-05
AT3G23750,0.622178449,1.19E-11
AT3G09035,0.621857178,0.011550322
AT2G21850,0.619929774,0.038332926
AT3G54250,0.619749958,0.003114261
AT1G23170,0.619492804,0.021727046
AT2G38170,0.618913526,0.000440937
AT4G39120,0.618639123,3.30E-05
AT3G57930,0.618577404,0.000268643
AT3G20790,0.618286158,0.000100848
AT5G47455,0.617765986,0.011022681
AT4G33625,0.617498584,0.000141633
AT2G42300,0.617036614,0.006983009
AT4G22300,0.61692466,0.000108445
AT2G38110,0.615985945,0.038811129
AT1G75730,0.615833504,0.000213772
AT4G30710,0.615395304,0.007473955
AT3G02990,0.615030878,0.040971661
AT1G76260,0.614474436,0.000593647
AT3G08670,0.614299019,0.000249515
AT1G74800,0.613894235,0.000985105
AT1G09310,0.61307585,0.001014785
AT5G54890,0.612425698,0.014612806
AT3G27180,0.612266843,0.000397975
AT4G16141,0.612171016,1.64E-06
AT1G11280,0.611519721,7.53E-06
AT3G52840,0.611259699,4.13E-09
AT3G53620,0.611154048,2.61E-05
AT1G67690,0.610888647,0.007713497
AT5G65700,0.610886559,2.13E-10
AT1G14410,0.610788064,0.000424492
AT1G68060,0.609694735,5.09E-09
AT2G28070,0.608154439,0.000152594
AT2G34260,0.608118064,0.000652666
AT1G77590,0.608014199,1.46E-07
AT4G20910,0.607749175,0.015391719
AT4G25630,0.607378607,5.97E-07
AT1G16340,0.607308768,0.001170746
AT4G26600,0.607001212,3.84E-05
AT1G05590,0.606586344,0.008347985
AT1G66910,0.606410419,0.000403797
AT3G10440,0.606186454,0.002857602
AT4G27180,0.605935784,3.01E-06
AT5G51670,0.605839351,0.02537585
AT5G63630,0.605236132,0.000864649
AT5G53370,0.605132937,2.73E-05
AT1G20650,0.604993251,0.004590067
AT5G22400,0.604910974,0.008166007
AT3G66658,0.604607371,0.00035109
AT2G47220,0.604254725,0.001416144
AT4G25600,0.604224038,0.041720908
AT3G53750,0.603728679,0.000395582
AT3G54750,0.603204623,0.024536536
AT3G16950,0.602747082,1.26E-07
AT3G06950,0.602509976,0.007759867
AT3G28180,0.602324368,1.54E-14
AT5G08780,0.602077521,0.000206328
AT3G07540,0.60134935,0.012200808
AT4G19900,0.601263366,2.81E-05
AT1G34350,0.601252583,0.000982575
AT5G49160,0.600677032,0.00090302
AT2G38120,0.60041524,0.000360507
AT1G55130,0.600242962,0.00028102
AT2G21710,0.600131886,0.000780171
AT1G34430,0.599820327,8.07E-09
AT3G26210,0.599806673,0.005303183
AT5G42240,0.59978695,0.000640262
AT3G18160,0.599754296,0.015280881
AT1G48570,0.599530118,1.81E-05
AT1G49580,0.598663008,0.006405096
AT5G06310,0.598306293,0.019394032
AT4G14740,0.597856913,0.016703263
AT4G36660,0.597701215,0.001704673
AT2G32400,0.597684655,0.000152955
AT1G09160,0.597663331,9.81E-06
AT2G36230,0.597480006,0.007517133
AT1G69200,0.596055606,0.000212827
AT4G32790,0.595710362,8.76E-05
AT2G31725,0.595282828,0.036129416
AT1G08660,0.595171695,2.54E-11
AT2G31870,0.595138936,0.016302326
AT2G04240,0.594478863,3.98E-05
AT5G09270,0.59439741,0.003238567
AT1G11260,0.594237669,4.36E-10
AT2G41540,0.594233824,2.63E-05
AT4G16960,0.594179045,0.000695497
AT3G18680,0.593952877,1.59E-05
AT5G10020,0.593628172,0.000819633
AT1G29930,0.593590518,0.000396238
AT4G27440,0.592576946,0.01435875
AT2G46780,0.591978337,0.001027239
AT5G14580,0.591936602,0.003539883
AT1G34010,0.590578653,0.002455056
AT5G55630,0.589690417,1.84E-06
AT3G52380,0.589527972,1.53E-10
AT5G50340,0.589011478,0.000646128
AT2G47230,0.588931056,0.010897163
AT2G26440,0.58886017,3.76E-06
AT5G19210,0.588625938,0.016267423
AT2G36145,0.588260921,0.02177896
AT5G62610,0.588066325,1.23E-06
AT3G24430,0.588021651,0.000343061
AT5G40480,0.587827312,0.00012277
AT1G16370,0.58777065,0.017227093
AT3G61780,0.587665587,0.002367602
AT5G48580,0.58740543,0.0001101
AT2G42880,0.58720361,1.34E-10
AT1G27410,0.58706682,0.030541444
AT3G22420,0.584838249,0.00040537
AT5G26910,0.584176697,4.81E-05
AT3G61100,0.583911143,0.009459548
AT3G21465,0.583456724,0.001183774
AT1G47580,0.583394797,0.007686882
AT4G14365,0.583304392,0.037486347
AT3G18890,0.583282288,2.17E-05
AT3G14210,0.583188592,0.000441998
AT5G23310,0.581874537,0.000914107
AT1G19440,0.581847847,3.90E-05
AT4G24750,0.581012711,9.45E-06
AT3G23820,0.580092256,0.001278223
AT5G14060,0.579960717,3.01E-06
AT4G17600,0.57964688,0.001340593
AT5G47770,0.579596648,6.49E-07
AT1G75840,0.579584101,5.61E-06
AT5G13290,0.579533957,0.036746885
AT1G75590,0.579068104,0.009558598
AT1G05810,0.579062362,0.000187339
AT2G45190,0.578713096,1.94E-05
AT5G45930,0.578647134,0.003862305
AT5G55620,0.578611953,0.014385927
AT5G46260,0.578105415,0.0217886
AT4G31850,0.577751238,0.012075244
AT5G25590,0.577049084,0.022301666
AT2G30010,0.577031279,0.031091385
AT3G04340,0.576883353,1.67E-07
AT2G41560,0.576417008,0.00063235
AT2G40280,0.576414626,2.41E-05
AT1G33470,0.575674962,0.000743439
AT2G23610,0.575338881,0.001208149
AT3G47690,0.575032899,0.015247062
AT1G79500,0.574849221,0.000379752
AT3G19780,0.574511783,1.73E-06
AT3G63120,0.573945803,0.000450615
AT4G35100,0.573908873,4.94E-06
AT1G64600,0.573428147,0.003396512
AT1G80640,0.573293121,0.000551343
AT5G16720,0.573206135,0.008025275
AT4G04340,0.57233594,1.38E-06
AT5G62580,0.572254603,0.000180818
AT3G45620,0.571896352,9.33E-06
AT3G03960,0.571457566,6.41E-10
AT3G05650,0.571407228,0.032122662
AT5G19460,0.571052344,0.001483526
AT4G20870,0.570129816,0.001101981
AT1G16020,0.57009791,0.001648911
AT5G66960,0.569929856,0.011260339
AT1G16720,0.569821893,2.97E-05
AT5G24314,0.569575708,0.0006739
AT5G12440,0.569564263,0.014548547
AT5G11150,0.569527618,0.002451835
AT5G12150,0.569269379,2.38E-06
AT5G62700,0.569010247,2.63E-15
AT2G26250,0.568999507,5.31E-11
AT5G57110,0.568855593,0.019690365
AT5G05830,0.568213894,0.033089465
AT4G15790,0.567907467,0.004576274
AT2G37930,0.567652389,0.028324888
AT4G35560,0.567643286,0.008274176
AT4G08790,0.567561195,0.012745118
AT1G67950,0.567050231,0.027822259
AT1G55690,0.56703801,0.003451141
AT5G60940,0.566788315,0.001650009
AT3G45310,0.566476812,1.21E-05
AT1G15970,0.564800369,0.002756771
AT5G11810,0.564640124,5.18E-06
AT4G29060,0.564476274,9.00E-07
AT1G07910,0.564417684,2.95E-07
AT2G27040,0.564309527,3.55E-05
AT4G36530,0.563515047,0.000538055
AT3G01810,0.563460672,0.000569948
AT1G56190,0.563307575,1.10E-06
AT1G68560,0.562927297,0.000593647
AT1G29980,0.562867492,0.018732756
AT5G18590,0.562867414,2.19E-05
AT5G14660,0.562638798,0.005318577
AT2G21080,0.56247836,0.012802064
AT3G54910,0.562403804,0.001465737
AT5G07790,0.561792524,0.003373054
AT5G03650,0.561713146,4.04E-06
AT5G47780,0.561683511,3.07E-12
AT3G29130,0.561589267,0.005956075
AT1G79660,0.561545072,7.82E-05
AT1G08470,0.560812423,0.014684839
AT4G11130,0.560534312,0.018372587
AT5G65360,0.559921854,0.021088136
AT5G38140,0.559480212,0.011295914
AT4G38950,0.557676015,0.003221606
AT5G01970,0.557578721,0.000121077
AT1G26130,0.557449755,0.00010658
AT2G20290,0.557141395,0.020697933
AT3G53460,0.55701326,0.000127745
AT1G65370,0.556627301,4.20E-06
AT4G34160,0.556320616,0.022778084
AT3G03710,0.555705969,1.04E-06
AT2G44760,0.555556175,0.000211482
AT3G52960,0.555234985,0.000547347
AT1G08560,0.555064337,0.039522295
AT2G31890,0.555040568,1.20E-05
AT3G10690,0.554852763,7.19E-05
AT3G25140,0.554632642,0.001750454
AT1G21730,0.55432862,5.32E-05
AT5G07120,0.554225441,0.000249384
AT3G26782,0.553707887,0.042797156
AT3G47860,0.553579091,0.000154254
AT5G66090,0.55351476,0.00115313
AT3G51080,0.55339529,0.014595491
AT3G02650,0.55263338,0.001238305
AT2G21530,0.552508865,0.024999386
AT5G65400,0.552456831,0.00661378
AT3G17670,0.55243914,0.026998937
AT3G07580,0.552237335,0.015481843
AT5G19750,0.552039326,0.005593934
AT1G19540,0.551842697,8.57E-06
AT3G43600,0.551663352,0.00461002
AT1G53500,0.551626109,2.69E-05
AT1G50040,0.551352772,2.44E-05
AT4G28210,0.551314115,0.001577868
AT4G14890,0.551248613,0.011605533
AT5G66770,0.551155177,0.021604571
AT5G17410,0.550835525,0.004871671
AT3G43610,0.55033386,0.002234074
AT2G44150,0.550316698,0.000704506
AT1G67050,0.550058946,0.001579868
AT3G21110,0.550020165,0.00278809
AT5G13000,0.549851484,2.39E-10
AT4G38120,0.549493273,3.00E-05
AT5G27830,0.549467439,4.84E-05
AT2G45200,0.549350179,3.35E-07
AT5G48870,0.549116888,0.024172986
AT3G07460,0.548536762,8.13E-09
AT1G12020,0.548409401,0.049036424
