genes,batchcorr,refgroup
AT1G28600,p,en2
AT1G49130,p,en2
AT1G52240,p,en2
AT1G64750,p,en2
AT1G65500,p,en2
AT1G68520,p,en2
AT1G68840,p,en2
AT1G70700,p,en2
AT1G74100,p,en2
AT1G74930,p,en2
AT1G80440,p,en2
AT2G04240,p,en2
AT2G15960,p,en2
AT2G16430,p,en2
AT2G20850,p,en2
AT2G21060,p,en2
AT2G23130,p,en2
AT2G24240,p,en2
AT2G25900,p,en2
AT2G27830,p,en2
AT2G29670,p,en2
AT2G29700,p,en2
AT2G32150,p,en2
AT2G32530,p,en2
AT2G38820,p,en2
AT2G44130,p,en2
AT3G07350,p,en2
AT3G14440,p,en2
AT3G15500,p,en2
AT3G18773,p,en2
AT3G26510,p,en2
AT3G52060,p,en2
AT3G52070,p,en2
AT3G52072,p,en2
AT3G55970,p,en2
AT3G59940,p,en2
AT4G03030,p,en2
AT4G03510,p,en2
AT4G04490,p,en2
AT4G05070,p,en2
AT4G09890,p,en2
AT4G12470,p,en2
AT4G15680,p,en2
AT4G20110,p,en2
AT4G23210,p,en2
AT4G24350,p,en2
AT4G24370,p,en2
AT4G27410,p,en2
AT4G28240,p,en2
AT4G28703,p,en2
AT4G29190,p,en2
AT4G32480,p,en2
AT4G34950,p,en2
AT4G37370,p,en2
AT4G37608,p,en2
AT4G37610,p,en2
AT5G19260,p,en2
AT5G21940,p,en2
AT5G24890,p,en2
AT5G26600,p,en2
AT5G43700,p,en2
AT5G46330,p,en2
AT5G47240,p,en2
AT5G56550,p,en2
AT5G60680,p,en2
AT5G62020,p,en2
AT5G64120,p,en2
AT5G65207,p,en2
AT1G02060,p,en24
AT1G02730,p,en24
AT1G17744,p,en24
AT1G18740,p,en24
AT1G27370,p,en24
AT1G27770,p,en24
AT1G28370,p,en24
AT1G33610,p,en24
AT1G42990,p,en24
AT1G49840,p,en24
AT1G54355,p,en24
AT1G61790,p,en24
AT1G72520,p,en24
AT1G73170,p,en24
AT2G22500,p,en24
AT2G23810,p,en24
AT2G30020,p,en24
AT2G33580,p,en24
AT2G35850,p,en24
AT2G38470,p,en24
AT2G39310,p,en24
AT2G40140,p,en24
AT2G41410,p,en24
AT2G43290,p,en24
AT3G04400,p,en24
AT3G05560,p,en24
AT3G05930,p,en24
AT3G05932,p,en24
AT3G11400,p,en24
AT3G29360,p,en24
AT3G44300,p,en24
AT3G48360,p,en24
AT3G49530,p,en24
AT3G53430,p,en24
AT3G55980,p,en24
AT3G56400,p,en24
AT3G59080,p,en24
AT3G59760,p,en24
AT4G01593,p,en24
AT4G01595,p,en24
AT4G02330,p,en24
AT4G17490,p,en24
AT4G18880,p,en24
AT4G20830,p,en24
AT4G23180,p,en24
AT4G23690,p,en24
AT4G24570,p,en24
AT4G29780,p,en24
AT4G34870,p,en24
AT4G35630,p,en24
AT4G36430,p,en24
AT4G36980,p,en24
AT5G04720,p,en24
AT5G06320,p,en24
AT5G26030,p,en24
AT5G38140,p,en24
AT5G42050,p,en24
AT5G45400,p,en24
AT5G48380,p,en24
AT5G51830,p,en24
AT5G53048,p,en24
AT5G53050,p,en24
AT5G53420,p,en24
AT5G57290,p,en24
AT5G64660,p,en24
AT2G40000,r,en6
AT3G15500,r,en6
AT4G37610,r,en6
AT1G02120,p,en6
AT1G02730,p,en6
AT1G07135,p,en6
AT1G07590,p,en6
AT1G07600,p,en6
AT1G11630,p,en6
AT1G14920,p,en6
AT1G15200,p,en6
AT1G20430,p,en6
AT1G20510,p,en6
AT1G25400,p,en6
AT1G27520,p,en6
AT1G27920,p,en6
AT1G31812,p,en6
AT1G48750,p,en6
AT1G53541,p,en6
AT1G55330,p,en6
AT1G56580,p,en6
AT1G58200,p,en6
AT1G62510,p,en6
AT1G68190,p,en6
AT1G68520,p,en6
AT1G69490,p,en6
AT1G70700,p,en6
AT1G70820,p,en6
AT1G72920,p,en6
AT1G73330,p,en6
AT1G73540,p,en6
AT1G73630,p,en6
AT1G75270,p,en6
AT1G76590,p,en6
AT1G78100,p,en6
AT1G79380,p,en6
AT1G80840,p,en6
AT2G01290,p,en6
AT2G05920,p,en6
AT2G15042,p,en6
AT2G15080,p,en6
AT2G16600,p,en6
AT2G18700,p,en6
AT2G22980,p,en6
AT2G26530,p,en6
AT2G27310,p,en6
AT2G28940,p,en6
AT2G29300,p,en6
AT2G30060,p,en6
AT2G30540,p,en6
AT2G32150,p,en6
AT2G38470,p,en6
AT2G40000,p,en6
AT2G40080,p,en6
AT2G40475,p,en6
AT2G44670,p,en6
AT2G45430,p,en6
AT2G45920,p,en6
AT2G47220,p,en6
AT3G02300,p,en6
AT3G04120,p,en6
AT3G05370,p,en6
AT3G06500,p,en6
AT3G09390,p,en6
AT3G12580,p,en6
AT3G12610,p,en6
AT3G13782,p,en6
AT3G15460,p,en6
AT3G15500,p,en6
AT3G16050,p,en6
AT3G17390,p,en6
AT3G19670,p,en6
AT3G24000,p,en6
AT3G26440,p,en6
AT3G26780,p,en6
AT3G26840,p,en6
AT3G44260,p,en6
AT3G46030,p,en6
AT3G47350,p,en6
AT3G51450,p,en6
AT3G52030,p,en6
AT3G55980,p,en6
AT3G57470,p,en6
AT4G02890,p,en6
AT4G02970,p,en6
AT4G03510,p,en6
AT4G04925,p,en6
AT4G10480,p,en6
AT4G11280,p,en6
AT4G13520,p,en6
AT4G15490,p,en6
AT4G19160,p,en6
AT4G21400,p,en6
AT4G24350,p,en6
AT4G24570,p,en6
AT4G27410,p,en6
AT4G29720,p,en6
AT4G29780,p,en6
AT4G31550,p,en6
AT4G32360,p,en6
AT4G33980,p,en6
AT4G34950,p,en6
AT4G37608,p,en6
AT4G37610,p,en6
AT4G38840,p,en6
AT4G38950,p,en6
AT4G39330,p,en6
AT5G02370,p,en6
AT5G02380,p,en6
AT5G03240,p,en6
AT5G21020,p,en6
AT5G21940,p,en6
AT5G22920,p,en6
AT5G23570,p,en6
AT5G24660,p,en6
AT5G25510,p,en6
AT5G28770,p,en6
AT5G35320,p,en6
AT5G37850,p,en6
AT5G42110,p,en6
AT5G43790,p,en6
AT5G45340,p,en6
AT5G46710,p,en6
AT5G47240,p,en6
AT5G49100,p,en6
AT5G49480,p,en6
AT5G50450,p,en6
AT5G51440,p,en6
AT5G52640,p,en6
AT5G54170,p,en6
AT5G55620,p,en6
AT5G55960,p,en6
AT5G55970,p,en6
AT5G56550,p,en6
AT5G56850,p,en6
AT5G57630,p,en6
AT5G57785,p,en6
AT5G58200,p,en6
AT5G59890,p,en6
AT5G59910,p,en6
AT5G61440,p,en6
AT5G63160,p,en6
ATCG00390,p,en6
AT1G19530,r,nm2
AT1G19670,r,nm2
AT1G61800,r,nm2
AT2G33790,r,nm2
AT2G43535,r,nm2
AT3G02030,r,nm2
AT3G25760,r,nm2
AT3G44860,r,nm2
AT4G15200,r,nm2
AT4G15210,r,nm2
AT4G23600,r,nm2
AT4G24350,r,nm2
AT4G32480,r,nm2
AT5G20150,r,nm2
AT5G20410,r,nm2
AT1G01720,p,nm2
AT1G01750,p,nm2
AT1G04070,p,nm2
AT1G04530,p,nm2
AT1G06000,p,nm2
AT1G06002,p,nm2
AT1G06820,p,nm2
AT1G07260,p,nm2
AT1G07610,p,nm2
AT1G07650,p,nm2
AT1G07750,p,nm2
AT1G08650,p,nm2
AT1G08830,p,nm2
AT1G08840,p,nm2
AT1G09070,p,nm2
AT1G09195,p,nm2
AT1G09310,p,nm2
AT1G09350,p,nm2
AT1G09490,p,nm2
AT1G09780,p,nm2
AT1G10910,p,nm2
AT1G11480,p,nm2
AT1G11530,p,nm2
AT1G11840,p,nm2
AT1G12000,p,nm2
AT1G12040,p,nm2
AT1G12845,p,nm2
AT1G12950,p,nm2
AT1G13080,p,nm2
AT1G13280,p,nm2
AT1G14450,p,nm2
AT1G14960,p,nm2
AT1G15740,p,nm2
AT1G16400,p,nm2
AT1G16850,p,nm2
AT1G16960,p,nm2
AT1G17745,p,nm2
AT1G18200,p,nm2
AT1G18270,p,nm2
AT1G18730,p,nm2
AT1G18735,p,nm2
AT1G19200,p,nm2
AT1G19485,p,nm2
AT1G19570,p,nm2
AT1G20020,p,nm2
AT1G20620,p,nm2
AT1G20670,p,nm2
AT1G20816,p,nm2
AT1G21350,p,nm2
AT1G22410,p,nm2
AT1G22630,p,nm2
AT1G23100,p,nm2
AT1G23190,p,nm2
AT1G24267,p,nm2
AT1G24575,p,nm2
AT1G26560,p,nm2
AT1G27130,p,nm2
AT1G27435,p,nm2
AT1G27530,p,nm2
AT1G28290,p,nm2
AT1G31600,p,nm2
AT1G32450,p,nm2
AT1G33050,p,nm2
AT1G34150,p,nm2
AT1G35720,p,nm2
AT1G48840,p,nm2
AT1G49180,p,nm2
AT1G49410,p,nm2
AT1G49730,p,nm2
AT1G51110,p,nm2
AT1G52070,p,nm2
AT1G52720,p,nm2
AT1G53120,p,nm2
AT1G53170,p,nm2
AT1G54580,p,nm2
AT1G54730,p,nm2
AT1G54970,p,nm2
AT1G55210,p,nm2
AT1G55265,p,nm2
AT1G56050,p,nm2
AT1G59520,p,nm2
AT1G61800,p,nm2
AT1G61820,p,nm2
AT1G62440,p,nm2
AT1G62780,p,nm2
AT1G63930,p,nm2
AT1G64710,p,nm2
AT1G65070,p,nm2
AT1G65290,p,nm2
AT1G65310,p,nm2
AT1G65950,p,nm2
AT1G66330,p,nm2
AT1G66520,p,nm2
AT1G66730,p,nm2
AT1G67360,p,nm2
AT1G67810,p,nm2
AT1G67870,p,nm2
AT1G67890,p,nm2
AT1G68670,p,nm2
AT1G68820,p,nm2
AT1G68890,p,nm2
AT1G69240,p,nm2
AT1G70710,p,nm2
AT1G70900,p,nm2
AT1G71100,p,nm2
AT1G71130,p,nm2
AT1G71780,p,nm2
AT1G72020,p,nm2
AT1G72640,p,nm2
AT1G72645,p,nm2
AT1G73110,p,nm2
AT1G73220,p,nm2
AT1G73580,p,nm2
AT1G74180,p,nm2
AT1G74270,p,nm2
AT1G75100,p,nm2
AT1G75280,p,nm2
AT1G75410,p,nm2
AT1G76500,p,nm2
AT1G76570,p,nm2
AT1G76630,p,nm2
AT1G76680,p,nm2
AT1G77750,p,nm2
AT1G78700,p,nm2
AT1G78710,p,nm2
AT1G78970,p,nm2
AT1G80130,p,nm2
AT1G80230,p,nm2
AT1G80240,p,nm2
AT1G80300,p,nm2
AT1G80650,p,nm2
AT1G80770,p,nm2
AT2G01020,p,nm2
AT2G01140,p,nm2
AT2G01150,p,nm2
AT2G02130,p,nm2
AT2G02410,p,nm2
AT2G02710,p,nm2
AT2G02960,p,nm2
AT2G03390,p,nm2
AT2G04530,p,nm2
AT2G04690,p,nm2
AT2G04790,p,nm2
AT2G05160,p,nm2
AT2G06025,p,nm2
AT2G13820,p,nm2
AT2G14890,p,nm2
AT2G15480,p,nm2
AT2G15490,p,nm2
AT2G16750,p,nm2
AT2G17265,p,nm2
AT2G17525,p,nm2
AT2G17780,p,nm2
AT2G17820,p,nm2
AT2G18230,p,nm2
AT2G18440,p,nm2
AT2G20360,p,nm2
AT2G20520,p,nm2
AT2G20820,p,nm2
AT2G20850,p,nm2
AT2G21060,p,nm2
AT2G22080,p,nm2
AT2G22170,p,nm2
AT2G22430,p,nm2
AT2G22470,p,nm2
AT2G22500,p,nm2
AT2G22980,p,nm2
AT2G24940,p,nm2
AT2G24945,p,nm2
AT2G24960,p,nm2
AT2G24980,p,nm2
AT2G25250,p,nm2
AT2G25625,p,nm2
AT2G25710,p,nm2
AT2G25810,p,nm2
AT2G26030,p,nm2
AT2G27510,p,nm2
AT2G28105,p,nm2
AT2G28190,p,nm2
AT2G29360,p,nm2
AT2G29670,p,nm2
AT2G30170,p,nm2
AT2G30340,p,nm2
AT2G30540,p,nm2
AT2G30860,p,nm2
AT2G30870,p,nm2
AT2G31150,p,nm2
AT2G31570,p,nm2
AT2G32080,p,nm2
AT2G32440,p,nm2
AT2G32530,p,nm2
AT2G33040,p,nm2
AT2G34585,p,nm2
AT2G35120,p,nm2
AT2G35150,p,nm2
AT2G35420,p,nm2
AT2G35450,p,nm2
AT2G35605,p,nm2
AT2G36350,p,nm2
AT2G36580,p,nm2
AT2G37250,p,nm2
AT2G37450,p,nm2
AT2G37520,p,nm2
AT2G38330,p,nm2
AT2G38360,p,nm2
AT2G38390,p,nm2
AT2G38700,p,nm2
AT2G38940,p,nm2
AT2G39040,p,nm2
AT2G39580,p,nm2
AT2G39681,p,nm2
AT2G39770,p,nm2
AT2G41780,p,nm2
AT2G41800,p,nm2
AT2G42310,p,nm2
AT2G43150,p,nm2
AT2G43535,p,nm2
AT2G44798,p,nm2
AT2G44800,p,nm2
AT2G45050,p,nm2
AT2G45660,p,nm2
AT2G46140,p,nm2
AT2G46630,p,nm2
AT2G46830,p,nm2
AT2G46860,p,nm2
AT2G47530,p,nm2
AT2G47730,p,nm2
AT3G01210,p,nm2
AT3G01260,p,nm2
AT3G01950,p,nm2
AT3G02030,p,nm2
AT3G02040,p,nm2
AT3G02230,p,nm2
AT3G02360,p,nm2
AT3G02380,p,nm2
AT3G03040,p,nm2
AT3G03150,p,nm2
AT3G03250,p,nm2
AT3G03790,p,nm2
AT3G04640,p,nm2
AT3G05020,p,nm2
AT3G05220,p,nm2
AT3G06050,p,nm2
AT3G07030,p,nm2
AT3G07320,p,nm2
AT3G07350,p,nm2
AT3G07720,p,nm2
AT3G08630,p,nm2
AT3G08670,p,nm2
AT3G09030,p,nm2
AT3G09070,p,nm2
AT3G09160,p,nm2
AT3G09810,p,nm2
AT3G10420,p,nm2
AT3G11330,p,nm2
AT3G12685,p,nm2
AT3G13110,p,nm2
AT3G13520,p,nm2
AT3G13650,p,nm2
AT3G13740,p,nm2
AT3G14310,p,nm2
AT3G15000,p,nm2
AT3G15095,p,nm2
AT3G15210,p,nm2
AT3G15354,p,nm2
AT3G15357,p,nm2
AT3G17609,p,nm2
AT3G17790,p,nm2
AT3G17820,p,nm2
AT3G18240,p,nm2
AT3G18410,p,nm2
AT3G18830,p,nm2
AT3G19390,p,nm2
AT3G19810,p,nm2
AT3G19900,p,nm2
AT3G20570,p,nm2
AT3G21530,p,nm2
AT3G21560,p,nm2
AT3G22170,p,nm2
AT3G22200,p,nm2
AT3G22210,p,nm2
AT3G22310,p,nm2
AT3G22420,p,nm2
AT3G23480,p,nm2
AT3G23510,p,nm2
AT3G23830,p,nm2
AT3G25780,p,nm2
AT3G26510,p,nm2
AT3G26900,p,nm2
AT3G27150,p,nm2
AT3G27280,p,nm2
AT3G28550,p,nm2
AT3G41979,p,nm2
AT3G43110,p,nm2
AT3G44720,p,nm2
AT3G45443,p,nm2
AT3G46130,p,nm2
AT3G47420,p,nm2
AT3G47450,p,nm2
AT3G48030,p,nm2
AT3G48110,p,nm2
AT3G48740,p,nm2
AT3G49140,p,nm2
AT3G49840,p,nm2
AT3G49850,p,nm2
AT3G50350,p,nm2
AT3G51870,p,nm2
AT3G52030,p,nm2
AT3G52930,p,nm2
AT3G54500,p,nm2
AT3G54580,p,nm2
AT3G54590,p,nm2
AT3G54720,p,nm2
AT3G55080,p,nm2
AT3G55440,p,nm2
AT3G55630,p,nm2
AT3G56200,p,nm2
AT3G56490,p,nm2
AT3G56880,p,nm2
AT3G57157,p,nm2
AT3G57470,p,nm2
AT3G58990,p,nm2
AT3G60280,p,nm2
AT3G61010,p,nm2
AT3G61420,p,nm2
AT3G62420,p,nm2
AT3G62422,p,nm2
AT3G62580,p,nm2
AT3G62680,p,nm2
AT3G62760,p,nm2
AT3G62910,p,nm2
AT4G00860,p,nm2
AT4G01915,p,nm2
AT4G02260,p,nm2
AT4G02790,p,nm2
AT4G02940,p,nm2
AT4G03080,p,nm2
AT4G04350,p,nm2
AT4G04610,p,nm2
AT4G04695,p,nm2
AT4G04740,p,nm2
AT4G04850,p,nm2
AT4G05020,p,nm2
AT4G08400,p,nm2
AT4G08410,p,nm2
AT4G09030,p,nm2
AT4G09490,p,nm2
AT4G10060,p,nm2
AT4G12545,p,nm2
AT4G12560,p,nm2
AT4G12680,p,nm2
AT4G12790,p,nm2
AT4G12830,p,nm2
AT4G12880,p,nm2
AT4G13040,p,nm2
AT4G13195,p,nm2
AT4G13390,p,nm2
AT4G13840,p,nm2
AT4G13940,p,nm2
AT4G14020,p,nm2
AT4G14580,p,nm2
AT4G14900,p,nm2
AT4G15160,p,nm2
AT4G15210,p,nm2
AT4G15630,p,nm2
AT4G16155,p,nm2
AT4G16450,p,nm2
AT4G16540,p,nm2
AT4G17790,p,nm2
AT4G18370,p,nm2
AT4G18593,p,nm2
AT4G18700,p,nm2
AT4G18740,p,nm2
AT4G19550,p,nm2
AT4G20110,p,nm2
AT4G21960,p,nm2
AT4G21990,p,nm2
AT4G22490,p,nm2
AT4G23260,p,nm2
AT4G23630,p,nm2
AT4G24050,p,nm2
AT4G24340,p,nm2
AT4G24890,p,nm2
AT4G24960,p,nm2
AT4G25630,p,nm2
AT4G26210,p,nm2
AT4G27745,p,nm2
AT4G27820,p,nm2
AT4G28060,p,nm2
AT4G29750,p,nm2
AT4G30670,p,nm2
AT4G30690,p,nm2
AT4G30760,p,nm2
AT4G30960,p,nm2
AT4G31210,p,nm2
AT4G31248,p,nm2
AT4G31250,p,nm2
AT4G31390,p,nm2
AT4G32060,p,nm2
AT4G32440,p,nm2
AT4G32470,p,nm2
AT4G32480,p,nm2
AT4G32650,p,nm2
AT4G34050,p,nm2
AT4G34200,p,nm2
AT4G34588,p,nm2
AT4G34590,p,nm2
AT4G34610,p,nm2
AT4G34700,p,nm2
AT4G34830,p,nm2
AT4G34870,p,nm2
AT4G35750,p,nm2
AT4G36180,p,nm2
AT4G36690,p,nm2
AT4G36780,p,nm2
AT4G37400,p,nm2
AT4G37432,p,nm2
AT4G38410,p,nm2
AT4G38460,p,nm2
AT4G38740,p,nm2
AT4G38770,p,nm2
AT4G38920,p,nm2
AT4G39260,p,nm2
AT4G39730,p,nm2
AT4G39770,p,nm2
AT4G39860,p,nm2
AT4G39980,p,nm2
AT4G40090,p,nm2
AT5G01640,p,nm2
AT5G01890,p,nm2
AT5G02250,p,nm2
AT5G02370,p,nm2
AT5G02380,p,nm2
AT5G02550,p,nm2
AT5G02810,p,nm2
AT5G03830,p,nm2
AT5G03900,p,nm2
AT5G04830,p,nm2
AT5G05500,p,nm2
AT5G05860,p,nm2
AT5G05930,p,nm2
AT5G06200,p,nm2
AT5G06630,p,nm2
AT5G06640,p,nm2
AT5G07110,p,nm2
AT5G07630,p,nm2
AT5G08030,p,nm2
AT5G08060,p,nm2
AT5G08570,p,nm2
AT5G08680,p,nm2
AT5G08720,p,nm2
AT5G09230,p,nm2
AT5G09470,p,nm2
AT5G10130,p,nm2
AT5G10300,p,nm2
AT5G10320,p,nm2
AT5G10470,p,nm2
AT5G10830,p,nm2
AT5G11550,p,nm2
AT5G11990,p,nm2
AT5G13430,p,nm2
AT5G13930,p,nm2
AT5G14330,p,nm2
AT5G14640,p,nm2
AT5G15320,p,nm2
AT5G15530,p,nm2
AT5G16180,p,nm2
AT5G17340,p,nm2
AT5G18610,p,nm2
AT5G18690,p,nm2
AT5G18800,p,nm2
AT5G19100,p,nm2
AT5G19260,p,nm2
AT5G19800,p,nm2
AT5G20020,p,nm2
AT5G20150,p,nm2
AT5G20790,p,nm2
AT5G21930,p,nm2
AT5G22050,p,nm2
AT5G22090,p,nm2
AT5G22800,p,nm2
AT5G23220,p,nm2
AT5G23535,p,nm2
AT5G23830,p,nm2
AT5G23840,p,nm2
AT5G23870,p,nm2
AT5G24140,p,nm2
AT5G24400,p,nm2
AT5G24655,p,nm2
AT5G24880,p,nm2
AT5G25630,p,nm2
AT5G26010,p,nm2
AT5G26600,p,nm2
AT5G27660,p,nm2
AT5G35170,p,nm2
AT5G35190,p,nm2
AT5G37130,p,nm2
AT5G37510,p,nm2
AT5G38140,p,nm2
AT5G40490,p,nm2
AT5G42240,p,nm2
AT5G42980,p,nm2
AT5G43350,p,nm2
AT5G44005,p,nm2
AT5G44490,p,nm2
AT5G44574,p,nm2
AT5G44930,p,nm2
AT5G45350,p,nm2
AT5G46490,p,nm2
AT5G46550,p,nm2
AT5G47030,p,nm2
AT5G48620,p,nm2
AT5G49280,p,nm2
AT5G49630,p,nm2
AT5G52070,p,nm2
AT5G52840,p,nm2
AT5G55110,p,nm2
AT5G55220,p,nm2
AT5G55840,p,nm2
AT5G56150,p,nm2
AT5G56850,p,nm2
AT5G57530,p,nm2
AT5G57540,p,nm2
AT5G57565,p,nm2
AT5G57630,p,nm2
AT5G57980,p,nm2
AT5G58390,p,nm2
AT5G58740,p,nm2
AT5G58790,p,nm2
AT5G60100,p,nm2
AT5G60400,p,nm2
AT5G60990,p,nm2
AT5G61140,p,nm2
AT5G61510,p,nm2
AT5G62180,p,nm2
AT5G62210,p,nm2
AT5G62980,p,nm2
AT5G63130,p,nm2
AT5G63660,p,nm2
AT5G65205,p,nm2
AT5G65210,p,nm2
AT5G65280,p,nm2
AT5G66040,p,nm2
AT5G66280,p,nm2
AT5G66510,p,nm2
AT5G66590,p,nm2
AT5G67070,p,nm2
ATMG00090,p,nm2
ATMG00580,p,nm2
ATMG00660,p,nm2
ATMG01390,p,nm2
AT5G04120,r,nm24
ATCG00450,r,nm24
AT1G13420,p,nm24
AT1G33590,p,nm24
AT1G52700,p,nm24
AT1G59940,p,nm24
AT1G62280,p,nm24
AT2G42850,p,nm24
AT4G08780,p,nm24
AT4G12520,p,nm24
AT5G04120,p,nm24
AT5G36180,p,nm24
AT5G46900,p,nm24
AT2G42540,r+p,nm6
AT5G44420,r+p,nm6
AT5G44430,r+p,nm6
AT1G23390,r,nm6
AT2G18700,r,nm6
AT2G40000,r,nm6
AT3G15450,r,nm6
AT3G48360,r,nm6
AT3G55980,r,nm6
AT4G37610,r,nm6
AT5G61440,r,nm6
