genes,batchcorr,refgroup
AT1G54680,p,em2
AT1G55210,p,em2
AT1G58080,p,em2
AT1G61800,p,em2
AT1G62180,p,em2
AT1G65840,p,em2
AT1G66230,p,em2
AT1G67080,p,em2
AT1G67195,p,em2
AT1G69490,p,em2
AT1G71030,p,em2
AT1G72645,p,em2
AT1G73830,p,em2
AT1G74090,p,em2
AT1G74900,p,em2
AT1G75388,p,em2
AT1G75390,p,em2
AT1G76430,p,em2
AT1G80240,p,em2
AT1G80440,p,em2
AT1G80920,p,em2
AT2G01008,p,em2
AT2G01020,p,em2
AT2G01150,p,em2
AT2G01670,p,em2
AT2G01870,p,em2
AT2G02130,p,em2
AT2G02710,p,em2
AT2G04690,p,em2
AT2G15890,p,em2
AT2G15960,p,em2
AT2G17880,p,em2
AT2G18290,p,em2
AT2G18530,p,em2
AT2G19880,p,em2
AT2G20270,p,em2
AT2G20570,p,em2
AT2G22980,p,em2
AT2G23030,p,em2
AT2G24190,p,em2
AT2G24240,p,em2
AT2G24550,p,em2
AT2G24980,p,em2
AT2G25900,p,em2
AT2G28605,p,em2
AT2G28720,p,em2
AT2G28780,p,em2
AT2G29290,p,em2
AT2G33670,p,em2
AT2G34660,p,em2
AT2G36580,p,em2
AT2G37678,p,em2
AT2G38210,p,em2
AT2G38610,p,em2
AT2G38870,p,em2
AT2G38940,p,em2
AT2G40000,p,em2
AT2G40850,p,em2
AT2G43100,p,em2
AT2G45135,p,em2
AT2G45660,p,em2
AT2G45680,p,em2
AT2G45685,p,em2
AT2G46880,p,em2
AT3G01260,p,em2
AT3G02030,p,em2
AT3G02040,p,em2
AT3G02380,p,em2
AT3G03250,p,em2
AT3G03790,p,em2
AT3G05870,p,em2
AT3G06070,p,em2
AT3G11170,p,em2
AT3G13110,p,em2
AT3G15460,p,em2
AT3G15500,p,em2
AT3G15760,p,em2
AT3G17790,p,em2
AT3G18773,p,em2
AT3G20570,p,em2
AT3G21560,p,em2
AT3G22210,p,em2
AT3G23480,p,em2
AT3G23880,p,em2
AT3G24730,p,em2
AT3G25930,p,em2
AT3G41979,p,em2
AT3G43110,p,em2
AT3G47160,p,em2
AT3G47420,p,em2
AT3G47460,p,em2
AT3G49790,p,em2
AT3G50550,p,em2
AT3G52060,p,em2
AT3G52070,p,em2
AT3G52072,p,em2
AT3G52190,p,em2
AT3G53620,p,em2
AT3G54580,p,em2
AT3G54590,p,em2
AT3G54810,p,em2
AT3G54880,p,em2
AT3G56200,p,em2
AT3G57157,p,em2
AT3G58990,p,em2
AT3G59940,p,em2
AT4G01070,p,em2
AT4G01790,p,em2
AT4G02200,p,em2
AT4G02940,p,em2
AT4G03510,p,em2
AT4G04330,p,em2
AT4G05070,p,em2
AT4G09030,p,em2
AT4G10920,p,em2
AT4G14465,p,em2
AT4G16540,p,em2
AT4G21990,p,em2
AT4G24890,p,em2
AT4G27410,p,em2
AT4G28270,p,em2
AT4G33030,p,em2
AT4G34200,p,em2
AT4G34950,p,em2
AT4G37432,p,em2
AT4G37608,p,em2
AT4G37610,p,em2
AT4G37680,p,em2
AT4G37770,p,em2
AT4G38740,p,em2
AT4G39675,p,em2
AT4G40090,p,em2
AT5G01220,p,em2
AT5G02130,p,em2
AT5G04190,p,em2
AT5G06640,p,em2
AT5G06690,p,em2
AT5G08030,p,em2
AT5G08570,p,em2
AT5G09920,p,em2
AT5G11740,p,em2
AT5G14330,p,em2
AT5G14410,p,em2
AT5G15810,p,em2
AT5G16480,p,em2
AT5G16650,p,em2
AT5G17290,p,em2
AT5G17300,p,em2
AT5G17340,p,em2
AT5G18690,p,em2
AT5G20410,p,em2
AT5G20790,p,em2
AT5G21940,p,em2
AT5G24316,p,em2
AT5G24420,p,em2
AT5G24490,p,em2
AT5G24500,p,em2
AT5G24890,p,em2
AT5G26860,p,em2
AT5G27660,p,em2
AT5G39520,p,em2
AT5G43350,p,em2
AT5G43370,p,em2
AT5G43700,p,em2
AT5G44240,p,em2
AT5G49448,p,em2
AT5G49450,p,em2
AT5G54170,p,em2
AT5G56150,p,em2
AT5G56550,p,em2
AT5G57630,p,em2
AT5G58390,p,em2
AT5G58570,p,em2
AT5G60400,p,em2
AT5G61510,p,em2
AT5G63160,p,em2
AT5G63300,p,em2
AT5G65207,p,em2
AT5G66180,p,em2
AT1G15125,r,em24
AT1G21130,r,em24
AT1G28370,r,em24
AT1G80840,r,em24
AT2G31880,r,em24
AT2G38470,r,em24
AT2G41100,r,em24
AT3G55980,r,em24
AT4G17490,r,em24
AT4G24570,r,em24
AT5G19240,r,em24
ATCG00040,r,em24
ATCG00100,r,em24
ATCG00130,r,em24
ATCG00500,r,em24
ATCG00520,r,em24
ATCG00570,r,em24
ATCG00720,r,em24
ATCG01020,r,em24
ATCG01100,r,em24
AT1G01290,p,em24
AT1G01448,p,em24
AT1G02010,p,em24
AT1G02120,p,em24
AT1G02300,p,em24
AT1G02610,p,em24
AT1G02660,p,em24
AT1G02730,p,em24
AT1G02960,p,em24
AT1G03230,p,em24
AT1G04820,p,em24
AT1G05030,p,em24
AT1G05070,p,em24
AT1G05200,p,em24
AT1G05900,p,em24
AT1G06265,p,em24
AT1G07135,p,em24
AT1G07350,p,em24
AT1G08660,p,em24
AT1G09140,p,em24
AT1G09530,p,em24
AT1G10910,p,em24
AT1G11050,p,em24
AT1G12244,p,em24
AT1G12880,p,em24
AT1G13150,p,em24
AT1G14660,p,em24
AT1G15930,p,em24
AT1G16090,p,em24
AT1G16570,p,em24
AT1G17147,p,em24
AT1G18660,p,em24
AT1G18740,p,em24
AT1G19180,p,em24
AT1G19485,p,em24
AT1G19690,p,em24
AT1G19770,p,em24
AT1G20020,p,em24
AT1G20430,p,em24
AT1G20540,p,em24
AT1G21010,p,em24
AT1G22270,p,em24
AT1G23710,p,em24
AT1G23870,p,em24
AT1G24140,p,em24
AT1G25400,p,em24
AT1G26150,p,em24
AT1G26160,p,em24
AT1G26208,p,em24
AT1G26210,p,em24
AT1G26580,p,em24
AT1G27100,p,em24
AT1G27290,p,em24
AT1G27310,p,em24
AT1G27370,p,em24
AT1G27520,p,em24
AT1G27730,p,em24
AT1G27770,p,em24
AT1G27920,p,em24
AT1G28370,p,em24
AT1G28380,p,em24
AT1G29410,p,em24
AT1G29560,p,em24
AT1G29600,p,em24
AT1G29900,p,em24
AT1G30040,p,em24
AT1G30490,p,em24
AT1G30590,p,em24
AT1G30750,p,em24
AT1G32640,p,em24
AT1G32920,p,em24
AT1G33610,p,em24
AT1G34210,p,em24
AT1G34340,p,em24
AT1G42990,p,em24
AT1G43170,p,em24
AT1G45229,p,em24
AT1G49180,p,em24
AT1G50970,p,em24
AT1G51110,p,em24
AT1G51430,p,em24
AT1G51660,p,em24
AT1G51700,p,em24
AT1G52050,p,em24
AT1G53780,p,em24
AT1G54000,p,em24
AT1G54260,p,em24
AT1G54350,p,em24
AT1G54355,p,em24
AT1G54370,p,em24
AT1G55250,p,em24
AT1G55450,p,em24
AT1G55810,p,em24
AT1G55890,p,em24
AT1G55930,p,em24
AT1G57990,p,em24
AT1G59590,p,em24
AT1G59910,p,em24
AT1G59980,p,em24
AT1G60220,p,em24
AT1G60270,p,em24
AT1G60900,p,em24
AT1G61340,p,em24
AT1G61790,p,em24
AT1G62085,p,em24
AT1G62440,p,em24
AT1G63240,p,em24
AT1G64572,p,em24
AT1G65040,p,em24
AT1G65070,p,em24
AT1G65290,p,em24
AT1G65370,p,em24
AT1G65710,p,em24
AT1G66090,p,em24
AT1G66160,p,em24
AT1G68890,p,em24
AT1G69750,p,em24
AT1G70290,p,em24
AT1G70600,p,em24
AT1G70620,p,em24
AT1G71330,p,em24
AT1G72500,p,em24
AT1G72520,p,em24
AT1G72640,p,em24
AT1G72910,p,em24
AT1G72920,p,em24
AT1G72940,p,em24
AT1G73170,p,em24
AT1G73310,p,em24
AT1G73500,p,em24
AT1G73540,p,em24
AT1G73620,p,em24
AT1G73990,p,em24
AT1G74100,p,em24
AT1G74260,p,em24
AT1G74320,p,em24
AT1G74930,p,em24
AT1G76170,p,em24
AT1G76600,p,em24
AT1G76650,p,em24
AT1G78130,p,em24
AT1G79110,p,em24
AT1G80240,p,em24
AT1G80440,p,em24
AT1G80840,p,em24
AT1G80980,p,em24
AT2G01180,p,em24
AT2G01220,p,em24
AT2G02410,p,em24
AT2G02570,p,em24
AT2G02770,p,em24
AT2G03280,p,em24
AT2G03760,p,em24
AT2G04230,p,em24
AT2G05210,p,em24
AT2G09990,p,em24
AT2G12170,p,em24
AT2G14080,p,em24
AT2G14255,p,em24
AT2G14460,p,em24
AT2G14890,p,em24
AT2G15890,p,em24
AT2G17420,p,em24
AT2G17630,p,em24
AT2G17640,p,em24
AT2G18210,p,em24
AT2G18700,p,em24
AT2G19330,p,em24
AT2G19760,p,em24
AT2G19810,p,em24
AT2G20410,p,em24
AT2G21370,p,em24
AT2G21430,p,em24
AT2G22470,p,em24
AT2G22500,p,em24
AT2G23370,p,em24
AT2G23810,p,em24
AT2G24280,p,em24
AT2G25010,p,em24
AT2G25520,p,em24
AT2G25735,p,em24
AT2G25810,p,em24
AT2G26030,p,em24
AT2G26530,p,em24
AT2G27080,p,em24
AT2G27510,p,em24
AT2G27970,p,em24
AT2G27980,p,em24
AT2G28510,p,em24
AT2G29360,p,em24
AT2G29570,p,em24
AT2G30020,p,em24
AT2G31150,p,em24
AT2G31880,p,em24
AT2G32030,p,em24
AT2G32270,p,em24
AT2G33370,p,em24
AT2G33580,p,em24
AT2G34520,p,em24
AT2G34970,p,em24
AT2G35000,p,em24
AT2G35020,p,em24
AT2G35360,p,em24
AT2G35530,p,em24
AT2G35930,p,em24
AT2G36630,p,em24
AT2G37190,p,em24
AT2G37450,p,em24
AT2G38195,p,em24
AT2G38470,p,em24
AT2G38780,p,em24
AT2G39280,p,em24
AT2G39430,p,em24
AT2G39580,p,em24
AT2G39690,p,em24
AT2G39870,p,em24
AT2G40000,p,em24
AT2G40140,p,em24
AT2G40190,p,em24
AT2G40960,p,em24
AT2G41010,p,em24
AT2G41100,p,em24
AT2G41410,p,em24
AT2G41790,p,em24
AT2G42247,p,em24
AT2G42250,p,em24
AT2G43080,p,em24
AT2G43290,p,em24
AT2G43460,p,em24
AT2G45380,p,em24
AT2G45920,p,em24
AT2G46100,p,em24
AT2G46320,p,em24
AT2G46450,p,em24
AT2G46505,p,em24
AT2G46510,p,em24
AT2G46790,p,em24
AT2G46915,p,em24
AT2G47015,p,em24
AT2G47020,p,em24
AT2G47880,p,em24
AT3G02080,p,em24
AT3G02340,p,em24
AT3G02830,p,em24
AT3G03160,p,em24
AT3G03360,p,em24
AT3G04160,p,em24
AT3G04400,p,em24
AT3G04450,p,em24
AT3G04500,p,em24
AT3G04640,p,em24
AT3G05200,p,em24
AT3G05930,p,em24
AT3G05932,p,em24
AT3G06880,p,em24
AT3G08030,p,em24
AT3G08040,p,em24
AT3G08730,p,em24
AT3G08760,p,em24
AT3G09160,p,em24
AT3G09450,p,em24
AT3G10930,p,em24
AT3G11070,p,em24
AT3G11400,p,em24
AT3G13065,p,em24
AT3G13225,p,em24
AT3G13490,p,em24
AT3G14150,p,em24
AT3G14205,p,em24
AT3G14410,p,em24
AT3G14440,p,em24
AT3G15210,p,em24
AT3G16720,p,em24
AT3G17225,p,em24
AT3G17860,p,em24
AT3G18190,p,em24
AT3G18500,p,em24
AT3G18560,p,em24
AT3G19540,p,em24
AT3G19580,p,em24
AT3G19670,p,em24
AT3G20010,p,em24
AT3G22420,p,em24
AT3G23790,p,em24
AT3G24830,p,em24
AT3G25600,p,em24
AT3G25730,p,em24
AT3G25780,p,em24
AT3G25890,p,em24
AT3G26080,p,em24
AT3G26085,p,em24
AT3G26100,p,em24
AT3G26290,p,em24
AT3G26300,p,em24
AT3G27420,p,em24
AT3G28340,p,em24
AT3G28720,p,em24
AT3G29034,p,em24
AT3G29360,p,em24
AT3G29390,p,em24
AT3G30720,p,em24
AT3G41768,p,em24
AT3G42640,p,em24
AT3G43220,p,em24
AT3G44260,p,em24
AT3G44960,p,em24
AT3G46030,p,em24
AT3G46280,p,em24
AT3G46600,p,em24
AT3G46620,p,em24
AT3G46970,p,em24
AT3G47350,p,em24
AT3G47360,p,em24
AT3G47510,p,em24
AT3G47675,p,em24
AT3G48360,p,em24
AT3G49050,p,em24
AT3G49140,p,em24
AT3G49290,p,em24
AT3G49530,p,em24
AT3G49790,p,em24
AT3G49810,p,em24
AT3G49960,p,em24
AT3G50240,p,em24
AT3G50670,p,em24
AT3G51160,p,em24
AT3G52180,p,em24
AT3G52400,p,em24
AT3G52450,p,em24
AT3G53430,p,em24
AT3G53830,p,em24
AT3G54470,p,em24
AT3G54500,p,em24
AT3G54910,p,em24
AT3G55230,p,em24
AT3G55520,p,em24
AT3G55530,p,em24
AT3G55630,p,em24
AT3G55750,p,em24
AT3G55980,p,em24
AT3G56450,p,em24
AT3G56880,p,em24
AT3G57070,p,em24
AT3G57170,p,em24
AT3G57230,p,em24
AT3G57300,p,em24
AT3G57450,p,em24
AT3G57470,p,em24
AT3G57530,p,em24
AT3G57750,p,em24
AT3G57810,p,em24
AT3G57920,p,em24
AT3G58160,p,em24
AT3G58760,p,em24
AT3G59080,p,em24
AT3G59300,p,em24
AT3G59310,p,em24
AT3G61010,p,em24
AT3G61420,p,em24
AT3G61700,p,em24
AT3G62190,p,em24
AT3G62420,p,em24
AT3G62422,p,em24
AT3G62750,p,em24
AT4G00040,p,em24
AT4G00080,p,em24
AT4G00300,p,em24
AT4G01593,p,em24
AT4G01595,p,em24
AT4G01850,p,em24
AT4G01915,p,em24
AT4G01950,p,em24
AT4G02270,p,em24
AT4G02330,p,em24
AT4G02410,p,em24
AT4G02430,p,em24
AT4G02485,p,em24
AT4G02500,p,em24
AT4G02900,p,em24
AT4G03115,p,em24
AT4G03205,p,em24
AT4G04950,p,em24
AT4G08400,p,em24
AT4G08410,p,em24
AT4G09020,p,em24
AT4G09970,p,em24
AT4G10060,p,em24
AT4G10450,p,em24
AT4G11280,p,em24
AT4G11830,p,em24
AT4G11840,p,em24
AT4G12680,p,em24
AT4G13040,p,em24
AT4G13395,p,em24
AT4G13494,p,em24
AT4G13495,p,em24
AT4G13505,p,em24
AT4G13510,p,em24
AT4G13550,p,em24
AT4G13572,p,em24
AT4G13940,p,em24
AT4G14070,p,em24
AT4G14145,p,em24
AT4G14420,p,em24
AT4G14960,p,em24
AT4G15000,p,em24
AT4G15200,p,em24
AT4G15770,p,em24
AT4G16280,p,em24
AT4G16765,p,em24
AT4G16990,p,em24
AT4G17230,p,em24
AT4G17250,p,em24
AT4G17370,p,em24
AT4G17490,p,em24
AT4G17500,p,em24
AT4G18520,p,em24
AT4G18730,p,em24
AT4G18880,p,em24
AT4G19060,p,em24
AT4G20830,p,em24
AT4G20860,p,em24
AT4G21060,p,em24
AT4G21326,p,em24
AT4G21400,p,em24
AT4G21850,p,em24
AT4G23180,p,em24
AT4G23260,p,em24
AT4G24570,p,em24
AT4G24740,p,em24
AT4G24800,p,em24
AT4G25280,p,em24
AT4G25434,p,em24
AT4G26400,p,em24
AT4G27040,p,em24
AT4G27370,p,em24
AT4G27657,p,em24
AT4G27820,p,em24
AT4G27910,p,em24
AT4G29490,p,em24
AT4G29690,p,em24
AT4G29780,p,em24
AT4G29890,p,em24
AT4G29905,p,em24
AT4G29990,p,em24
AT4G30190,p,em24
AT4G30690,p,em24
AT4G31060,p,em24
AT4G31115,p,em24
AT4G32020,p,em24
AT4G32560,p,em24
AT4G32660,p,em24
AT4G32980,p,em24
AT4G33000,p,em24
AT4G33625,p,em24
AT4G34140,p,em24
AT4G34150,p,em24
AT4G34870,p,em24
AT4G35420,p,em24
AT4G35490,p,em24
AT4G35540,p,em24
AT4G35630,p,em24
AT4G35780,p,em24
AT4G35785,p,em24
AT4G35987,p,em24
AT4G36190,p,em24
AT4G36270,p,em24
AT4G36280,p,em24
AT4G36500,p,em24
AT4G36690,p,em24
AT4G36980,p,em24
AT4G37260,p,em24
AT4G38230,p,em24
AT4G38360,p,em24
AT4G38950,p,em24
AT4G38960,p,em24
AT4G39680,p,em24
AT5G01250,p,em24
AT5G01780,p,em24
AT5G02670,p,em24
AT5G02680,p,em24
AT5G02810,p,em24
AT5G02960,p,em24
AT5G03330,p,em24
AT5G03830,p,em24
AT5G04220,p,em24
AT5G04360,p,em24
AT5G04540,p,em24
AT5G04720,p,em24
AT5G04770,p,em24
AT5G04960,p,em24
AT5G06320,p,em24
AT5G06660,p,em24
AT5G07630,p,em24
AT5G08210,p,em24
AT5G08370,p,em24
AT5G08430,p,em24
AT5G09230,p,em24
AT5G09300,p,em24
AT5G09800,p,em24
AT5G09810,p,em24
AT5G11230,p,em24
AT5G12880,p,em24
AT5G12940,p,em24
AT5G14210,p,em24
AT5G15870,p,em24
AT5G15970,p,em24
AT5G15980,p,em24
AT5G16510,p,em24
AT5G17350,p,em24
AT5G17490,p,em24
AT5G17580,p,em24
AT5G18960,p,em24
AT5G19240,p,em24
AT5G20225,p,em24
AT5G20230,p,em24
AT5G20450,p,em24
AT5G20580,p,em24
AT5G22410,p,em24
AT5G22700,p,em24
AT5G22880,p,em24
AT5G23220,p,em24
AT5G23480,p,em24
AT5G23740,p,em24
AT5G23810,p,em24
AT5G23940,p,em24
AT5G24352,p,em24
AT5G24450,p,em24
AT5G24620,p,em24
AT5G24670,p,em24
AT5G25560,p,em24
AT5G25630,p,em24
AT5G26030,p,em24
AT5G26240,p,em24
AT5G26610,p,em24
AT5G26920,p,em24
AT5G27420,p,em24
AT5G27670,p,em24
AT5G27730,p,em24
AT5G27770,p,em24
AT5G27860,p,em24
AT5G35170,p,em24
AT5G35410,p,em24
AT5G37055,p,em24
AT5G37370,p,em24
