genes,lFC_nguyen2017,Padj_nguyen2017
AT1G44414,0.837,1.1E-02
AT1G44608,0.760,1.5E-03
AT1G45616,0.994,3.3E-03
AT1G46768,1.380,1.3E-04
AT1G47128,0.734,3.2E-03
AT1G48660,1.431,9.2E-03
AT1G48745,0.902,1.3E-03
AT1G49150,2.034,1.3E-04
AT1G49310,0.948,4.2E-03
AT1G49570,1.032,9.9E-04
AT1G49640,2.480,4.1E-05
AT1G49660,1.125,1.0E-03
AT1G50400,1.431,8.8E-05
AT1G51035,0.884,1.9E-03
AT1G51420,1.490,8.4E-05
AT1G51660,0.757,2.9E-03
AT1G51700,0.744,3.1E-03
AT1G51820,1.479,1.1E-03
AT1G51830,1.152,3.6E-03
AT1G51850,1.121,1.2E-04
AT1G52200,0.933,1.5E-04
AT1G52855,0.746,6.1E-03
AT1G52880,1.035,1.3E-03
AT1G52890,1.557,2.1E-03
AT1G53270,0.844,5.7E-04
AT1G53625,1.025,9.6E-03
AT1G54100,1.378,1.5E-04
AT1G54540,1.045,1.4E-03
AT1G55265,1.112,3.5E-04
AT1G55450,0.763,7.7E-04
AT1G55760,0.960,3.4E-03
AT1G55850,1.659,3.3E-05
AT1G55920,1.183,8.7E-05
AT1G56140,0.756,7.5E-04
AT1G56170,0.784,1.0E-03
AT1G56320,0.917,7.7E-04
AT1G56650,1.805,1.6E-03
AT1G56660,0.778,1.9E-02
AT1G58180,0.835,4.5E-04
AT1G58245,0.743,1.6E-02
AT1G58248,0.828,6.7E-03
AT1G59265,0.925,2.5E-03
AT1G59590,1.598,3.4E-04
AT1G59640,0.707,3.4E-03
AT1G59660,1.101,3.0E-03
AT1G59700,1.204,6.5E-05
AT1G60060,1.435,4.3E-04
AT1G60090,1.008,2.4E-02
AT1G60740,1.423,1.5E-04
AT1G60750,1.974,2.1E-04
AT1G61370,0.755,7.4E-04
AT1G61415,0.850,2.2E-02
AT1G61470,0.746,4.8E-04
AT1G61800,2.331,3.4E-04
AT1G62300,0.757,4.9E-04
AT1G62570,1.746,9.1E-05
AT1G62580,3.739,7.8E-05
AT1G62710,1.333,1.5E-03
AT1G63090,0.867,2.1E-04
AT1G63340,3.693,1.1E-04
AT1G63530,1.120,2.1E-03
AT1G64140,0.810,5.8E-03
AT1G64160,0.972,2.4E-03
AT1G64220,0.763,2.0E-03
AT1G64590,0.813,4.2E-03
AT1G64660,1.896,9.2E-05
AT1G64900,2.874,1.4E-05
AT1G64940,0.819,3.3E-02
AT1G64950,1.398,4.4E-04
AT1G65080,0.793,2.0E-03
AT1G65481,1.121,2.5E-03
AT1G65500,0.731,1.3E-02
AT1G65520,0.785,1.5E-04
AT1G65570,1.074,2.0E-03
AT1G65690,1.227,6.8E-04
AT1G65730,1.089,2.2E-03
AT1G65820,0.881,1.3E-04
AT1G66390,1.804,1.7E-03
AT1G66500,0.786,2.4E-04
AT1G66600,0.939,4.1E-03
AT1G66783,0.942,6.8E-04
AT1G66795,1.068,2.0E-04
AT1G66880,1.083,2.4E-03
AT1G66900,0.738,2.5E-03
AT1G66920,0.743,2.8E-04
AT1G67030,0.792,1.6E-03
AT1G67100,1.326,1.2E-02
AT1G67360,1.892,1.2E-04
AT1G67365,0.858,9.9E-04
AT1G67610,0.795,2.4E-03
AT1G67650,1.174,1.4E-04
AT1G67800,1.335,1.9E-04
AT1G67810,1.609,2.3E-02
AT1G67820,1.161,1.5E-03
AT1G68340,0.712,6.6E-03
AT1G68620,1.236,7.0E-04
AT1G68795,0.990,1.5E-03
AT1G68850,0.920,1.4E-03
AT1G68880,0.826,2.2E-03
AT1G68990,0.793,2.6E-03
AT1G69270,0.994,2.2E-04
AT1G69480,1.704,1.6E-04
AT1G69790,1.383,1.2E-04
AT1G69880,1.102,4.8E-04
AT1G69920,1.433,9.8E-03
AT1G70000,0.848,2.2E-04
AT1G70140,0.847,1.2E-03
AT1G70250,1.076,5.6E-05
AT1G70440,1.511,5.5E-04
AT1G70530,0.975,3.1E-04
AT1G70810,1.726,8.8E-05
AT1G71140,2.004,3.0E-04
AT1G71880,0.773,1.3E-02
AT1G72330,1.824,8.4E-05
AT1G72360,1.170,3.0E-04
AT1G72660,1.437,7.9E-04
AT1G72680,1.416,4.8E-04
AT1G72800,0.850,3.6E-04
AT1G72900,2.105,3.5E-04
AT1G72930,1.284,5.3E-04
AT1G72940,1.098,2.6E-03
AT1G73120,1.458,2.4E-03
AT1G73500,1.828,8.3E-05
AT1G73810,0.798,4.3E-04
AT1G74010,0.714,4.5E-03
AT1G74450,0.769,2.6E-03
AT1G74460,0.763,2.5E-03
AT1G74590,0.863,2.6E-04
AT1G74710,0.871,1.4E-03
AT1G74750,0.754,1.8E-03
AT1G74870,1.379,1.0E-03
AT1G74940,0.754,1.8E-03
AT1G75170,0.900,1.7E-03
AT1G75270,1.715,8.2E-05
AT1G75280,1.644,1.3E-04
AT1G75290,1.758,4.9E-03
AT1G76350,0.972,2.4E-04
AT1G76470,1.874,1.5E-04
AT1G76520,1.997,6.5E-05
AT1G76560,0.753,9.1E-04
AT1G76590,1.334,6.5E-04
AT1G76600,2.628,1.4E-05
AT1G76650,1.386,1.9E-03
AT1G76680,1.120,3.5E-03
AT1G76690,2.641,4.0E-05
AT1G76705,0.834,2.2E-02
AT1G76960,1.175,3.3E-04
AT1G76970,0.753,5.0E-03
AT1G76980,0.948,4.0E-03
AT1G77120,1.022,7.8E-03
AT1G77230,0.708,3.9E-04
AT1G77450,2.561,3.9E-05
AT1G77570,1.552,3.5E-04
AT1G77670,0.718,1.3E-03
AT1G77730,0.736,4.5E-04
AT1G77920,0.857,4.2E-04
AT1G78000,1.185,2.4E-04
AT1G78190,1.293,3.4E-04
AT1G78290,0.863,1.3E-03
AT1G78340,4.276,2.6E-05
AT1G78380,1.450,5.2E-05
AT1G78410,0.721,8.3E-03
AT1G78850,0.931,2.4E-04
AT1G79270,0.898,9.1E-05
AT1G79410,1.219,1.8E-04
AT1G79590,0.715,4.6E-04
AT1G79710,0.906,6.3E-04
AT1G80110,0.709,2.9E-03
AT1G80130,1.118,3.1E-03
AT1G80133,0.745,5.7E-03
AT1G80300,0.853,3.3E-04
AT1G80820,0.890,3.3E-03
AT2G02060,0.995,2.4E-03
AT2G02120,0.923,3.1E-03
AT2G02390,1.306,3.2E-04
AT2G02955,0.865,3.4E-04
AT2G02990,0.844,3.8E-02
AT2G03130,2.307,3.6E-05
AT2G03230,2.199,6.9E-05
AT2G03360,0.779,1.4E-03
AT2G03590,1.325,1.4E-03
AT2G03600,0.826,8.8E-04
AT2G03760,4.298,8.3E-05
AT2G04040,2.332,1.0E-04
AT2G04050,4.288,9.2E-05
AT2G04066,2.601,9.2E-05
AT2G04070,4.710,2.8E-05
AT2G04080,0.769,2.5E-03
AT2G04260,1.329,1.4E-02
AT2G05380,1.780,9.7E-05
AT2G05510,1.034,5.1E-03
AT2G05518,0.890,7.1E-03
AT2G07213,1.267,2.3E-03
AT2G14070,1.135,5.9E-04
AT2G14661,1.575,4.0E-03
AT2G15128,1.413,1.1E-03
AT2G15480,2.151,6.4E-05
AT2G15490,4.400,1.4E-04
AT2G16060,2.384,1.2E-04
AT2G17230,0.766,2.9E-02
AT2G17500,1.418,7.3E-04
AT2G17520,0.821,4.9E-04
AT2G17670,0.941,8.0E-05
AT2G17850,5.252,9.1E-05
AT2G18050,1.200,3.2E-03
AT2G18150,1.360,1.0E-03
AT2G18190,3.133,9.2E-05
AT2G18193,6.103,3.3E-05
AT2G18510,0.778,1.1E-03
AT2G18660,2.587,1.7E-03
AT2G19130,0.913,6.0E-04
AT2G19310,0.829,3.3E-04
AT2G19590,0.745,3.5E-03
AT2G19810,0.700,1.2E-02
AT2G19860,0.702,2.6E-05
AT2G19900,1.220,5.3E-03
AT2G20500,0.701,3.5E-03
AT2G20560,0.876,5.2E-03
AT2G20700,0.914,2.6E-04
AT2G20720,1.115,5.1E-04
AT2G20800,2.912,1.1E-04
AT2G20940,0.732,3.5E-03
AT2G21450,2.309,2.9E-04
AT2G21610,0.864,3.1E-04
AT2G21640,2.909,3.7E-05
AT2G22430,1.062,2.2E-04
AT2G22510,0.830,1.0E-02
AT2G22780,1.080,1.2E-03
AT2G22880,0.795,5.1E-04
AT2G23110,2.541,1.1E-03
AT2G23150,0.703,1.9E-02
AT2G23321,0.747,7.1E-03
AT2G23540,0.810,9.6E-04
AT2G23910,1.238,2.4E-03
AT2G24100,0.705,8.5E-04
AT2G24560,1.156,1.9E-02
AT2G25140,1.213,7.4E-04
AT2G25530,0.769,2.2E-03
AT2G25625,1.461,1.5E-04
AT2G25770,0.733,1.3E-03
AT2G26150,0.815,1.2E-02
AT2G26440,0.955,2.4E-03
AT2G26560,2.168,2.9E-04
AT2G27510,0.702,8.1E-03
AT2G27535,1.101,1.6E-04
AT2G27660,0.781,4.8E-04
AT2G28210,1.177,8.5E-03
AT2G28400,0.870,5.4E-04
AT2G28690,0.704,9.7E-05
AT2G28700,0.923,1.4E-02
AT2G28710,1.460,8.8E-05
AT2G28830,2.620,6.9E-05
AT2G28900,1.096,1.8E-03
AT2G29350,1.384,5.3E-04
AT2G29370,1.290,4.6E-04
AT2G29420,2.291,9.7E-05
AT2G29460,2.273,4.4E-04
AT2G29480,1.598,5.9E-04
AT2G29490,3.023,9.1E-05
AT2G29670,3.295,6.6E-05
AT2G29870,2.014,4.8E-04
AT2G29990,1.188,2.3E-04
AT2G30140,2.041,3.4E-04
AT2G30250,1.582,1.3E-04
AT2G30490,0.961,1.5E-03
AT2G30550,0.786,1.4E-02
AT2G31130,0.891,2.9E-04
AT2G31380,0.737,1.2E-03
AT2G31750,0.883,2.3E-03
AT2G31990,0.783,2.7E-04
AT2G32020,3.282,1.8E-05
AT2G32030,1.171,3.0E-04
AT2G32830,0.789,3.5E-03
AT2G33590,0.836,3.4E-03
AT2G33710,1.110,2.8E-04
AT2G33770,0.830,1.4E-02
AT2G34070,0.925,1.4E-03
AT2G34340,0.844,8.3E-05
AT2G34390,1.604,1.5E-04
AT2G34610,1.198,1.4E-03
AT2G34660,1.102,2.5E-03
AT2G35480,1.952,2.9E-05
AT2G35550,1.381,1.6E-03
AT2G35700,0.848,2.9E-03
AT2G35733,0.849,9.1E-05
AT2G35736,0.758,1.1E-03
AT2G35743,0.903,2.3E-03
AT2G36295,0.709,5.8E-04
AT2G36340,1.122,4.5E-04
AT2G36380,0.897,3.6E-03
AT2G36460,1.337,4.1E-03
AT2G36530,0.940,8.9E-04
AT2G36580,0.922,5.2E-05
AT2G36590,1.043,2.9E-03
AT2G36750,3.352,9.2E-05
AT2G36790,3.130,8.8E-05
AT2G36800,3.615,3.2E-05
AT2G36970,1.936,2.0E-04
AT2G37040,0.814,1.5E-03
AT2G37150,0.859,9.0E-04
AT2G37240,0.752,3.2E-04
AT2G37260,0.958,1.5E-03
AT2G37690,0.750,5.4E-04
AT2G37750,0.705,6.4E-03
AT2G37760,1.453,8.3E-05
AT2G37770,4.358,5.9E-05
AT2G37970,0.812,1.9E-04
AT2G38210,1.098,3.9E-03
AT2G38250,1.585,1.4E-05
AT2G38280,0.829,5.1E-03
AT2G38340,1.754,8.0E-04
AT2G38470,0.714,8.0E-03
AT2G38640,0.794,2.0E-02
AT2G38823,6.455,1.8E-05
AT2G39230,0.740,1.7E-02
AT2G39650,1.750,3.8E-05
AT2G39725,0.782,1.6E-04
AT2G39820,1.060,8.7E-04
AT2G40095,0.823,2.2E-03
AT2G40200,0.901,8.8E-03
AT2G40340,1.488,1.2E-04
AT2G40350,0.823,2.1E-03
AT2G40370,1.011,6.3E-03
AT2G41010,1.026,2.8E-04
AT2G41040,0.736,2.1E-03
AT2G41090,1.367,7.2E-04
AT2G41230,1.167,1.0E-03
AT2G41380,2.057,6.4E-05
AT2G41391,1.527,5.5E-04
AT2G41630,0.936,2.8E-04
AT2G41670,0.775,1.2E-03
AT2G41730,5.351,5.4E-07
AT2G42330,0.812,2.3E-03
AT2G42540,0.792,3.2E-02
AT2G42680,0.721,9.0E-05
AT2G43060,0.738,3.3E-03
AT2G43375,0.846,2.9E-03
AT2G43390,0.730,9.4E-03
AT2G43510,0.995,3.5E-04
AT2G43660,0.818,1.1E-03
AT2G43670,0.760,2.0E-03
AT2G43720,1.686,1.1E-04
AT2G43820,1.351,8.2E-05
AT2G44070,0.931,1.1E-03
AT2G44460,5.900,3.7E-05
AT2G44790,0.884,4.9E-03
AT2G45210,0.758,3.3E-02
AT2G45280,0.810,1.4E-03
AT2G45360,1.216,1.2E-04
AT2G45570,2.563,1.1E-04
AT2G45680,0.833,1.6E-03
AT2G46400,0.759,3.7E-02
AT2G46430,0.950,1.7E-03
AT2G46440,0.887,7.5E-04
AT2G46494,1.682,1.5E-04
AT2G46495,2.009,1.3E-04
AT2G46610,0.714,9.8E-04
AT2G46670,0.803,1.0E-03
AT2G46790,0.738,3.2E-03
AT2G46995,0.999,1.2E-03
AT2G47000,3.500,7.2E-05
AT2G47010,1.389,7.2E-04
AT2G47130,0.934,3.1E-04
AT2G47180,1.411,2.3E-03
AT2G47485,0.781,1.2E-03
AT2G47520,5.175,2.6E-05
AT2G47680,1.122,4.2E-04
AT2G47710,1.020,2.3E-04
AT2G47720,1.070,6.5E-04
AT2G47730,1.100,8.6E-04
AT2G47800,0.782,6.5E-04
AT2G47890,1.366,6.2E-05
AT3G01170,0.757,2.5E-03
AT3G01190,1.008,1.5E-03
AT3G01280,0.773,1.5E-04
AT3G01420,2.021,4.8E-04
AT3G01513,1.323,2.1E-04
AT3G01600,2.646,1.6E-04
AT3G01970,1.379,7.5E-04
AT3G02140,0.820,4.8E-04
AT3G02240,1.419,2.6E-04
AT3G02550,4.965,8.0E-05
AT3G02555,0.783,3.6E-04
AT3G02800,0.800,3.0E-04
AT3G03270,2.026,7.2E-05
AT3G03430,0.877,2.9E-04
AT3G03470,1.184,1.2E-04
AT3G04000,0.900,6.6E-03
AT3G04120,1.563,5.5E-04
AT3G04420,0.842,2.8E-02
AT3G04620,0.948,1.0E-03
AT3G04800,0.755,7.8E-03
AT3G05165,0.868,1.0E-03
AT3G05190,0.951,5.2E-03
AT3G05290,0.963,2.4E-04
AT3G05327,0.969,2.5E-04
AT3G05360,0.765,7.3E-04
AT3G05400,1.300,4.8E-04
AT3G05630,0.986,5.6E-03
AT3G05660,0.952,1.5E-03
AT3G05770,0.914,3.4E-03
AT3G06435,2.077,1.4E-04
AT3G06860,0.843,5.9E-03
AT3G06920,0.787,3.8E-03
AT3G07150,0.791,2.3E-02
AT3G07720,1.564,9.2E-05
AT3G07730,1.001,4.2E-04
AT3G07770,0.811,3.2E-03
AT3G07860,0.740,5.2E-04
AT3G08040,1.508,1.2E-04
AT3G08590,1.252,4.9E-04
AT3G08690,1.075,8.0E-04
AT3G08810,1.018,1.1E-03
AT3G08860,2.331,8.1E-04
AT3G08870,1.299,3.0E-04
AT3G09010,0.718,4.0E-03
AT3G09220,0.857,8.1E-03
AT3G09270,1.813,8.8E-05
AT3G09390,1.466,1.4E-04
AT3G09440,1.418,4.4E-04
AT3G09640,1.248,9.8E-03
AT3G10040,2.012,8.4E-04
AT3G10120,0.916,1.5E-03
AT3G10320,1.217,3.6E-03
AT3G10480,0.938,6.8E-04
AT3G10500,1.840,2.6E-05
AT3G10815,0.830,1.2E-02
AT3G10930,1.630,5.7E-04
AT3G11020,1.499,1.0E-03
AT3G11050,1.150,7.4E-04
AT3G11340,1.164,4.2E-04
AT3G11430,1.016,2.9E-03
AT3G11580,1.079,4.6E-03
AT3G11900,1.007,7.6E-05
AT3G12050,0.760,2.4E-04
AT3G12510,0.989,8.4E-05
AT3G12520,1.117,1.7E-04
AT3G12580,2.225,5.4E-04
AT3G12860,0.774,7.3E-03
AT3G12890,1.260,3.2E-04
AT3G13080,2.259,1.2E-03
AT3G13090,1.075,2.7E-03
AT3G13110,0.704,1.0E-03
AT3G13150,0.719,1.6E-03
AT3G13224,1.027,5.6E-03
AT3G13310,1.169,1.5E-04
AT3G13432,1.744,8.4E-05
AT3G13610,0.821,2.7E-03
AT3G13650,1.166,7.0E-04
AT3G13950,1.430,1.2E-04
