genes,lFC_nguyen2017,Padj_nguyen2017
AT3G57380,1.346,2.1E-04
AT3G57390,0.996,1.2E-04
AT3G57660,0.752,9.9E-03
AT3G57700,1.140,1.9E-03
AT3G58150,3.104,3.7E-05
AT3G58270,1.534,1.9E-04
AT3G59140,1.976,1.0E-04
AT3G59150,0.784,5.2E-04
AT3G59280,0.721,1.7E-03
AT3G59700,0.772,1.9E-03
AT3G60010,0.810,1.4E-03
AT3G60140,4.409,1.3E-04
AT3G60160,1.199,5.9E-04
AT3G60640,0.703,8.4E-04
AT3G60940,0.802,6.6E-03
AT3G60960,0.809,7.0E-04
AT3G60970,1.238,1.7E-03
AT3G60980,0.834,5.2E-04
AT3G61070,1.040,2.5E-03
AT3G61111,1.579,2.3E-04
AT3G61140,0.794,4.8E-04
AT3G61250,0.982,2.6E-04
AT3G61571,0.744,1.5E-02
AT3G61630,3.168,9.2E-05
AT3G62150,0.710,7.6E-04
AT3G62260,0.813,5.7E-04
AT3G62610,1.272,4.7E-04
AT3G62960,0.844,3.4E-03
AT3G63060,0.783,4.9E-04
AT3G63310,0.857,5.0E-04
AT4G00234,0.927,4.1E-04
AT4G00290,0.843,5.2E-03
AT4G00390,1.480,1.0E-04
AT4G01070,0.961,1.2E-03
AT4G01170,0.906,2.3E-04
AT4G01250,0.947,2.2E-03
AT4G01360,0.841,2.5E-03
AT4G01540,0.815,1.7E-03
AT4G01870,3.005,1.5E-04
AT4G02280,1.395,1.9E-04
AT4G02360,1.333,1.5E-04
AT4G02940,1.469,5.7E-04
AT4G03320,1.522,3.2E-05
AT4G03400,1.016,7.0E-04
AT4G03540,0.976,6.2E-04
AT4G04020,1.809,1.0E-04
AT4G04180,0.837,1.1E-03
AT4G04620,1.360,8.7E-05
AT4G05020,1.453,2.1E-04
AT4G05380,1.284,4.1E-04
AT4G06746,1.956,6.9E-05
AT4G08510,0.726,1.2E-02
AT4G08555,5.483,1.4E-05
AT4G08770,1.435,5.5E-04
AT4G08780,1.130,1.1E-03
AT4G08850,1.264,3.4E-04
AT4G09020,1.802,1.8E-04
AT4G09080,0.934,3.1E-03
AT4G09170,1.173,1.4E-03
AT4G09760,0.781,5.0E-03
AT4G09820,1.837,8.3E-05
AT4G10040,1.025,1.3E-04
AT4G10250,1.046,4.3E-02
AT4G10265,2.716,7.9E-05
AT4G10270,3.799,8.3E-05
AT4G11290,1.320,3.4E-04
AT4G11600,0.707,2.0E-03
AT4G12290,2.021,8.3E-05
AT4G12400,0.785,1.5E-03
AT4G12470,0.918,3.9E-03
AT4G12490,1.627,1.0E-03
AT4G12735,6.539,1.4E-05
AT4G13180,2.879,8.0E-05
AT4G13510,0.808,7.5E-04
AT4G13750,0.821,2.0E-03
AT4G13850,0.729,2.8E-03
AT4G14010,1.156,8.0E-05
AT4G14030,0.766,3.7E-03
AT4G14090,1.546,1.6E-04
AT4G14980,1.168,4.4E-03
AT4G15417,0.842,1.4E-03
AT4G15420,1.069,1.5E-03
AT4G15490,2.564,1.2E-04
AT4G15530,0.945,7.1E-03
AT4G15550,1.885,4.9E-05
AT4G15610,2.065,3.0E-04
AT4G15760,2.867,1.4E-05
AT4G15765,0.792,6.2E-04
AT4G15910,0.852,2.1E-04
AT4G16190,0.955,1.3E-03
AT4G16210,0.780,3.2E-03
AT4G16260,0.854,3.0E-03
AT4G16500,0.828,6.9E-04
AT4G16780,0.733,5.6E-04
AT4G17260,0.862,1.6E-04
AT4G17310,0.752,3.6E-03
AT4G17670,1.457,5.0E-05
AT4G17785,2.024,6.4E-04
AT4G17840,1.138,8.8E-05
AT4G18210,0.744,1.7E-03
AT4G18360,1.624,1.5E-04
AT4G18422,1.922,3.4E-04
AT4G18880,1.297,1.4E-03
AT4G19230,2.498,8.8E-05
AT4G19880,1.761,3.3E-05
AT4G20070,0.915,6.1E-04
AT4G20110,0.733,1.9E-03
AT4G20830,1.138,9.3E-04
AT4G20860,0.866,3.8E-03
AT4G21510,1.460,6.2E-04
AT4G21580,1.087,1.2E-04
AT4G21680,1.765,3.4E-04
AT4G21800,0.855,4.0E-03
AT4G21840,0.748,4.2E-02
AT4G21930,0.935,1.7E-03
AT4G21940,0.773,9.3E-04
AT4G21990,2.039,2.1E-04
AT4G22530,1.293,3.7E-04
AT4G22770,1.142,5.0E-03
AT4G22820,1.329,8.0E-05
AT4G22870,1.435,1.9E-03
AT4G22880,1.329,7.5E-04
AT4G23270,0.804,2.1E-04
AT4G23280,0.838,1.5E-03
AT4G23450,0.857,3.8E-03
AT4G23600,1.293,1.3E-04
AT4G23630,0.710,9.0E-04
AT4G23840,0.737,7.1E-03
AT4G23990,0.840,8.6E-04
AT4G24110,3.175,2.8E-05
AT4G24160,0.898,1.5E-03
AT4G24260,1.459,5.0E-04
AT4G24690,1.086,5.3E-04
AT4G25200,0.889,5.4E-04
AT4G25400,1.279,2.4E-04
AT4G25800,0.752,5.3E-03
AT4G25810,0.919,3.1E-03
AT4G25930,0.951,1.3E-02
AT4G26060,0.993,1.0E-04
AT4G26090,0.772,1.4E-03
AT4G26110,1.129,2.6E-03
AT4G26150,1.797,1.2E-04
AT4G26200,1.406,1.8E-04
AT4G26270,1.722,3.7E-05
AT4G26320,0.730,1.9E-03
AT4G26460,1.332,6.9E-04
AT4G26950,1.126,6.9E-04
AT4G27450,3.714,1.4E-04
AT4G27580,1.970,2.4E-04
AT4G27585,1.310,1.3E-04
AT4G27652,0.830,5.3E-04
AT4G27670,1.660,4.3E-03
AT4G27780,0.712,2.6E-04
AT4G27830,1.610,1.4E-05
AT4G27900,1.061,1.3E-03
AT4G27940,1.136,3.5E-04
AT4G28020,0.751,3.6E-03
AT4G28110,1.224,1.3E-03
AT4G28280,0.749,5.0E-04
AT4G28350,0.803,1.6E-03
AT4G28390,0.888,1.4E-04
AT4G28510,0.774,1.7E-04
AT4G29305,0.913,1.1E-03
AT4G29980,0.854,1.8E-02
AT4G30270,1.315,7.1E-03
AT4G30370,0.828,5.5E-04
AT4G30460,0.715,4.4E-04
AT4G30470,0.985,1.6E-04
AT4G30750,0.738,4.5E-04
AT4G31330,0.785,4.5E-03
AT4G31370,1.100,1.2E-03
AT4G31550,0.715,1.9E-03
AT4G31670,0.709,2.7E-04
AT4G31870,0.942,2.4E-03
AT4G31877,0.768,1.6E-03
AT4G32050,0.755,2.7E-03
AT4G32208,1.088,5.1E-03
AT4G32480,0.749,2.8E-02
AT4G32810,0.719,1.0E-02
AT4G33040,0.953,1.6E-03
AT4G33070,2.906,2.2E-04
AT4G33560,2.846,2.4E-04
AT4G33565,0.750,2.8E-04
AT4G33905,1.384,1.6E-03
AT4G34050,1.110,1.1E-03
AT4G34131,2.778,1.9E-05
AT4G34135,3.713,3.3E-05
AT4G34138,1.278,2.9E-04
AT4G34590,1.380,2.8E-04
AT4G34710,0.847,9.5E-03
AT4G34860,1.034,1.8E-04
AT4G35090,0.710,2.6E-03
AT4G35140,0.743,7.3E-03
AT4G35180,1.357,5.7E-03
AT4G35640,1.300,5.2E-05
AT4G36090,0.888,1.1E-02
AT4G36430,0.708,4.1E-03
AT4G36580,1.476,1.2E-04
AT4G36610,0.863,5.5E-03
AT4G36830,0.932,1.1E-03
AT4G36920,0.969,4.2E-04
AT4G37010,0.804,6.1E-03
AT4G37030,3.290,3.7E-05
AT4G37120,0.703,3.4E-03
AT4G37310,0.837,2.3E-04
AT4G37370,2.834,5.1E-05
AT4G37520,1.444,4.2E-04
AT4G37620,0.777,4.3E-03
AT4G37870,0.952,1.4E-02
AT4G37900,0.746,2.1E-03
AT4G37910,0.756,4.8E-03
AT4G38150,0.875,1.5E-04
AT4G38540,1.777,2.8E-04
AT4G38550,0.753,3.5E-03
AT4G39210,1.671,6.2E-05
AT4G39480,1.215,9.1E-04
AT4G39500,1.642,2.0E-02
AT4G39675,0.771,1.3E-03
AT4G39730,0.946,1.5E-03
AT4G39740,1.758,1.2E-04
AT4G39955,1.092,1.5E-03
AT4G40065,1.705,6.4E-04
AT5G01260,0.808,2.4E-03
AT5G01445,0.810,2.5E-03
AT5G01550,1.008,1.7E-03
AT5G01600,1.261,1.6E-03
AT5G02180,0.725,2.9E-03
AT5G02380,0.773,3.2E-03
AT5G02580,1.008,4.5E-03
AT5G02780,1.181,4.5E-03
AT5G03030,1.037,1.5E-03
AT5G03285,0.905,2.4E-03
AT5G03310,0.710,1.0E-03
AT5G03490,1.434,1.5E-04
AT5G03495,1.817,5.6E-04
AT5G03700,1.486,1.3E-04
AT5G03780,1.305,6.7E-04
AT5G04340,1.356,9.5E-04
AT5G05190,1.142,4.6E-04
AT5G05270,0.862,4.2E-03
AT5G05365,1.396,1.4E-03
AT5G05390,1.926,2.6E-04
AT5G05410,0.727,8.3E-03
AT5G05640,0.961,3.2E-04
AT5G06090,1.360,3.5E-04
AT5G06190,1.101,5.1E-04
AT5G06460,0.952,2.4E-04
AT5G06530,0.736,1.3E-02
AT5G06860,2.939,4.1E-05
AT5G06865,1.042,1.1E-03
AT5G07475,0.825,5.8E-03
AT5G07610,0.858,2.4E-02
AT5G07990,1.748,6.9E-04
AT5G08250,0.900,8.1E-03
AT5G08790,2.072,2.4E-04
AT5G09330,0.919,2.4E-03
AT5G09420,1.086,2.3E-04
AT5G09470,3.168,4.5E-05
AT5G09520,0.908,8.0E-03
AT5G09530,0.920,2.0E-03
AT5G09540,0.780,5.8E-03
AT5G09570,2.154,1.9E-04
AT5G09585,0.759,1.2E-02
AT5G09590,1.141,1.4E-03
AT5G09840,0.917,1.1E-03
AT5G10572,0.838,3.9E-04
AT5G10625,0.767,1.7E-03
AT5G10650,0.851,2.9E-03
AT5G11060,1.026,4.7E-03
AT5G11090,0.778,3.3E-04
AT5G11520,0.762,2.6E-03
AT5G11600,0.706,2.7E-04
AT5G11930,0.770,7.7E-04
AT5G12010,0.724,1.4E-04
AT5G12030,2.342,7.8E-04
AT5G12420,1.061,5.5E-04
AT5G12890,1.016,8.9E-05
AT5G12990,1.044,2.6E-03
AT5G13170,1.013,8.8E-03
AT5G13180,0.810,7.0E-04
AT5G13210,3.961,1.2E-04
AT5G13330,1.271,5.8E-04
AT5G13370,1.063,1.6E-03
AT5G13550,0.907,2.5E-04
AT5G13580,1.075,9.5E-04
AT5G13750,1.772,1.6E-04
AT5G13800,0.884,1.4E-03
AT5G13900,1.279,1.5E-03
AT5G14105,0.808,4.9E-04
AT5G14490,1.313,3.6E-04
AT5G14940,0.790,1.1E-03
AT5G15090,1.140,1.3E-03
AT5G15120,4.655,1.3E-04
AT5G15700,0.851,1.7E-03
AT5G15940,0.731,7.3E-04
AT5G16560,0.766,4.0E-04
AT5G16770,0.886,4.9E-03
AT5G16930,0.975,1.7E-03
AT5G16960,1.432,1.0E-03
AT5G16970,0.915,5.7E-03
AT5G16980,0.795,1.7E-03
AT5G17000,1.749,3.7E-05
AT5G17050,1.289,3.0E-03
AT5G17220,1.629,1.3E-04
AT5G17380,0.909,3.0E-03
AT5G17760,0.882,2.5E-03
AT5G17860,0.807,1.3E-02
AT5G18200,1.003,1.4E-05
AT5G18270,1.562,4.6E-04
AT5G18290,1.479,6.2E-04
AT5G18310,1.027,3.2E-03
AT5G19140,0.903,6.6E-03
AT5G19410,1.132,3.1E-03
AT5G19440,1.453,8.4E-05
AT5G19550,1.546,1.0E-03
AT5G20010,1.174,1.1E-03
AT5G20020,0.812,3.4E-04
AT5G20190,0.901,1.1E-03
AT5G20230,0.837,8.3E-03
AT5G20280,0.724,1.6E-03
AT5G20400,1.715,1.3E-04
AT5G20480,1.409,1.9E-04
AT5G20910,1.020,9.6E-05
AT5G21326,0.807,7.1E-04
AT5G22020,0.702,2.0E-03
AT5G22060,0.817,3.8E-03
AT5G22140,0.971,2.5E-03
AT5G22300,1.303,7.5E-04
AT5G23155,0.759,7.3E-03
AT5G23190,0.734,2.4E-02
AT5G23230,0.710,1.4E-03
AT5G23480,0.732,3.8E-03
AT5G23930,0.810,1.6E-03
AT5G24070,0.828,5.5E-03
AT5G24090,1.832,1.3E-04
AT5G24270,0.711,1.9E-03
AT5G24280,1.695,7.0E-04
AT5G24380,0.977,1.8E-04
AT5G24460,0.863,3.1E-04
AT5G24600,0.763,1.2E-02
AT5G24640,5.590,1.4E-05
AT5G24655,0.935,2.9E-04
AT5G24660,1.592,8.3E-05
AT5G24740,0.851,2.4E-03
AT5G24800,0.771,1.2E-03
AT5G24910,0.777,4.5E-03
AT5G24990,0.714,1.7E-03
AT5G25250,1.120,1.0E-03
AT5G25930,1.165,3.6E-03
AT5G26170,1.817,1.4E-04
AT5G26180,0.872,8.1E-04
AT5G26220,1.796,2.2E-04
AT5G27030,0.727,8.7E-03
AT5G27230,0.920,2.8E-03
AT5G27520,1.091,2.8E-03
AT5G27600,1.369,1.3E-04
AT5G27760,1.026,4.0E-04
AT5G28020,1.128,9.3E-04
AT5G28996,1.019,4.8E-02
AT5G32161,0.845,1.0E-02
AT5G33290,1.577,1.5E-04
AT5G35690,1.150,3.7E-05
AT5G36130,1.128,1.2E-02
AT5G36220,1.303,3.1E-05
AT5G37600,0.862,7.6E-04
AT5G38100,1.079,2.5E-03
AT5G39050,1.856,2.3E-04
AT5G39090,0.747,2.7E-03
AT5G39840,0.916,4.1E-03
AT5G39850,1.093,6.6E-04
AT5G39890,3.363,2.2E-04
AT5G40000,1.082,5.5E-03
AT5G40010,0.875,1.6E-03
AT5G40490,0.876,7.4E-04
AT5G40590,0.913,7.2E-04
AT5G40670,0.899,1.7E-04
AT5G40690,2.366,7.8E-05
AT5G40720,0.769,2.6E-03
AT5G40760,0.977,6.3E-04
AT5G41040,0.885,3.4E-04
AT5G41200,0.710,8.4E-03
AT5G42060,1.045,5.5E-04
AT5G42650,0.871,1.1E-03
AT5G42800,1.743,3.0E-04
AT5G42810,0.701,4.5E-03
AT5G42830,1.047,7.8E-03
AT5G43170,1.279,2.2E-04
AT5G43290,1.193,3.4E-03
AT5G43450,3.567,1.2E-04
AT5G43580,0.799,7.5E-03
AT5G43860,1.185,1.2E-04
AT5G43980,0.897,4.6E-03
AT5G44575,0.768,1.2E-02
AT5G44750,0.706,3.1E-03
AT5G45070,1.114,2.8E-04
AT5G45095,0.955,5.7E-03
AT5G45110,0.798,3.6E-04
AT5G45340,1.166,9.2E-05
AT5G45380,0.858,1.8E-02
AT5G46050,1.193,4.3E-04
AT5G46080,0.704,3.4E-03
AT5G46180,0.981,9.7E-04
AT5G46295,0.705,8.4E-03
AT5G46410,0.770,3.3E-03
AT5G46470,0.710,3.0E-04
AT5G46710,1.545,2.2E-04
AT5G46780,0.851,2.7E-04
AT5G47440,0.778,6.5E-03
AT5G47635,0.853,1.6E-03
AT5G47880,1.044,2.4E-04
AT5G48180,2.473,1.2E-04
AT5G48410,0.828,2.3E-03
AT5G48570,0.858,3.3E-03
AT5G48657,0.864,3.9E-03
AT5G48710,0.907,2.7E-03
AT5G48720,0.773,1.6E-03
AT5G48850,4.115,8.4E-05
AT5G48880,0.813,2.0E-03
AT5G48930,0.733,3.1E-03
AT5G49120,0.792,1.4E-03
AT5G49200,1.082,1.1E-03
AT5G49280,0.761,1.1E-03
AT5G49330,0.749,2.1E-02
AT5G49480,2.098,6.4E-05
AT5G50100,0.716,3.8E-03
AT5G50780,0.751,7.6E-03
AT5G50800,2.414,1.6E-04
AT5G50960,0.768,3.8E-04
AT5G51070,0.718,1.2E-03
AT5G51220,0.762,5.4E-04
AT5G51440,2.548,1.5E-04
AT5G51500,1.791,2.2E-04
AT5G51830,1.389,1.7E-04
AT5G52450,0.725,2.3E-03
AT5G52640,2.781,1.5E-04
AT5G52750,1.229,2.6E-03
AT5G52810,1.218,3.0E-04
AT5G52940,3.216,5.2E-05
AT5G53030,1.220,2.2E-04
AT5G53230,1.591,1.7E-04
AT5G53240,1.265,9.7E-04
AT5G53290,0.957,3.5E-03
AT5G53420,1.050,4.2E-04
AT5G53480,0.725,7.2E-04
AT5G53870,1.450,6.8E-03
AT5G53970,0.718,3.1E-04
AT5G54060,1.887,5.0E-04
AT5G54095,2.286,1.8E-04
AT5G54100,2.334,4.9E-05
AT5G54165,0.957,1.8E-03
AT5G54420,1.972,6.0E-04
AT5G54450,3.043,1.0E-04
AT5G54550,2.362,1.4E-04
AT5G54560,2.293,1.1E-04
AT5G54840,0.777,9.2E-04
AT5G54940,0.965,7.7E-04
AT5G54960,1.420,9.7E-05
AT5G55150,2.224,1.2E-04
AT5G55200,1.406,5.2E-05
AT5G55270,1.771,2.8E-04
AT5G55570,0.877,1.5E-03
AT5G56010,0.907,1.1E-02
AT5G56030,0.858,2.8E-03
AT5G56080,0.798,1.4E-02
AT5G56350,1.253,7.8E-05
AT5G56500,0.761,6.5E-03
AT5G56630,0.708,4.5E-04
AT5G57060,0.704,4.4E-04
AT5G57390,1.228,3.1E-03
AT5G58070,0.719,2.6E-03
AT5G58210,1.222,3.5E-05
AT5G58650,1.092,5.7E-04
AT5G59390,0.737,2.3E-02
AT5G59510,0.916,4.2E-04
AT5G59820,1.548,1.5E-04
AT5G60250,1.833,4.8E-04
AT5G60460,0.877,1.9E-04
AT5G60730,0.777,2.9E-02
AT5G60790,0.879,1.2E-02
AT5G61010,1.317,5.6E-04
AT5G61030,0.736,1.4E-03
AT5G61160,1.151,2.6E-02
AT5G61490,0.711,1.1E-03
AT5G61600,0.701,7.2E-03
AT5G61640,1.183,1.5E-04
AT5G61760,0.820,1.0E-03
AT5G61820,2.691,8.0E-05
AT5G62150,1.081,3.4E-04
AT5G62480,3.384,4.7E-05
AT5G62490,0.888,8.0E-03
AT5G63010,0.889,2.3E-03
AT5G63790,2.026,1.9E-04
AT5G64000,0.906,2.6E-04
AT5G64060,1.223,2.4E-04
AT5G64230,1.066,5.3E-04
AT5G64250,0.852,1.5E-04
AT5G64260,0.830,2.9E-03
AT5G64552,0.896,1.6E-03
AT5G64810,1.442,1.9E-04
AT5G64990,0.819,9.0E-04
AT5G65040,1.051,3.4E-04
AT5G65110,1.103,1.3E-03
AT5G65207,1.039,2.4E-03
AT5G65380,0.716,1.0E-03
AT5G65640,1.301,5.6E-04
AT5G65720,0.717,4.7E-03
AT5G65790,0.897,3.4E-04
AT5G65840,0.701,3.4E-03
AT5G66052,2.176,9.3E-05
AT5G66130,0.982,2.1E-04
AT5G66170,0.700,3.0E-02
AT5G66390,1.084,6.8E-04
AT5G66480,2.755,1.1E-04
AT5G66650,0.989,2.8E-02
AT5G66820,0.878,6.1E-04
AT5G67140,0.996,1.7E-03
AT5G67310,1.242,6.3E-04
AT5G67330,1.156,3.9E-04
AT5G67340,0.727,1.6E-03
AT5G67480,0.845,1.4E-04
